DATE,TOTBKCR
2011-03-09,8915.2033
2011-03-16,8909.8284
2011-03-23,8909.0501
2011-03-30,8912.3581
2011-04-06,8923.8646
2011-04-13,8924.2879
2011-04-20,8939.5115
2011-04-27,8931.4298
2011-05-04,8930.8404
2011-05-11,8938.2789
2011-05-18,8906.3837
2011-05-25,8920.9681
2011-06-01,8941.4786
2011-06-08,8931.6518
2011-06-15,8936.5583
2011-06-22,8923.6145
2011-06-29,8915.5928
2011-07-06,8927.9582
2011-07-13,8951.4116
2011-07-20,8949.0554
2011-07-27,8960.4434
2011-08-03,8956.6568
2011-08-10,8980.8578
2011-08-17,8995.1092
2011-08-24,8997.897
2011-08-31,9001.9547
2011-09-07,9013.88
2011-09-14,9007.9858
2011-09-21,9007.8105
2011-09-28,9010.0089
2011-10-05,9022.418
2011-10-12,9035.2616
2011-10-19,9042.3348
2011-10-26,9060.3893
2011-11-02,9081.652
2011-11-09,9077.9478
2011-11-16,9093.1044
2011-11-23,9093.0165
2011-11-30,9099.6852
2011-12-07,9095.106
2011-12-14,9103.537
2011-12-21,9095.8985
2011-12-28,9116.1212
2012-01-04,9157.1736
2012-01-11,9178.0629
2012-01-18,9150.9836
2012-01-25,9157.9188
2012-02-01,9248.8563
2012-02-08,9250.7401
2012-02-15,9265.9051
2012-02-22,9269.3921
2012-02-29,9306.0309
2012-03-07,9292.9625
2012-03-14,9296.8529
2012-03-21,9287.5689
2012-03-28,9303.4501
2012-04-04,9330.7937
2012-04-11,9344.8758
2012-04-18,9335.3867
2012-04-25,9326.9078
2012-05-02,9345.8385
2012-05-09,9361.0537
2012-05-16,9363.249
2012-05-23,9369.7516
2012-05-30,9375.2218
2012-06-06,9392.5228
2012-06-13,9373.9844
2012-06-20,9371.2438
2012-06-27,9394.9873
2012-07-04,9410.1426
2012-07-11,9435.0536
2012-07-18,9424.5347
2012-07-25,9435.5701
2012-08-01,9457.5706
2012-08-08,9469.685
2012-08-15,9465.1464
2012-08-22,9463.8717
