DATE,H8B3094NCBA
2011-03-09,1809227.5
2011-03-16,1757498.2
2011-03-23,1792837.5
2011-03-30,1781307.5
2011-04-06,1758539.8
2011-04-13,1727672.4
2011-04-20,1749138.3
2011-04-27,1706948.0
2011-05-04,1699263.4
2011-05-11,1690122.2
2011-05-18,1682802.9
2011-05-25,1655614.6
2011-06-01,1653510.1
2011-06-08,1650717.0
2011-06-15,1658794.7
2011-06-22,1689156.4
2011-06-29,1715990.4
2011-07-06,1671785.1
2011-07-13,1664880.5
2011-07-20,1651680.6
2011-07-27,1657287.6
2011-08-03,1634993.5
2011-08-10,1651003.6
2011-08-17,1652914.9
2011-08-24,1656533.7
2011-08-31,1630172.0
2011-09-07,1628099.3
2011-09-14,1621279.8
2011-09-21,1611340.0
2011-09-28,1618161.4
2011-10-05,1615029.3
2011-10-12,1593443.5
2011-10-19,1589872.0
2011-10-26,1575029.0
2011-11-02,1599954.7
2011-11-09,1597668.1
2011-11-16,1608680.5
2011-11-23,1601974.5
2011-11-30,1618096.7
2011-12-07,1618060.0
2011-12-14,1618155.8
2011-12-21,1612627.0
2011-12-28,1635193.9
2012-01-04,1613213.2
2012-01-11,1566410.5
2012-01-18,1563899.6
2012-01-25,1577154.8
2012-02-01,1571758.9
2012-02-08,1567627.3
2012-02-15,1598061.7
2012-02-22,1583430.7
2012-02-29,1573985.3
2012-03-07,1568001.8
2012-03-14,1569470.4
2012-03-21,1565003.2
2012-03-28,1570083.0
2012-04-04,1575559.2
2012-04-11,1569155.2
2012-04-18,1560460.8
2012-04-25,1542600.3
2012-05-02,1583322.4
2012-05-09,1570070.1
2012-05-16,1570100.8
2012-05-23,1581029.0
2012-05-30,1578304.8
2012-06-06,1568725.1
2012-06-13,1581956.2
2012-06-20,1569419.0
2012-06-27,1567778.5
2012-07-04,1578641.2
2012-07-11,1579542.7
2012-07-18,1573997.8
2012-07-25,1564521.0
2012-08-01,1563445.9
2012-08-08,1563838.6
2012-08-15,1555850.9
2012-08-22,1544823.7
2012-08-29,1563990.4
2012-09-05,1576259.5
2012-09-12,1562080.9
2012-09-19,1551172.3
2012-09-26,1573244.0
2012-10-03,1563382.1
2012-10-10,1528987.7
2012-10-17,1556339.0
2012-10-24,1538739.8
2012-10-31,1562524.8
2012-11-07,1538114.4
2012-11-14,1555526.0
2012-11-21,1521850.8
2012-11-28,1547609.0
2012-12-05,1537063.7
2012-12-12,1547962.2
2012-12-19,1541980.1
2012-12-26,1549770.3
2013-01-02,1595003.9
2013-01-09,1563176.6
2013-01-16,1561518.0
2013-01-23,1545681.0
2013-01-30,1567583.6
2013-02-06,1565269.1
2013-02-13,1568814.9
2013-02-20,1550504.8
2013-02-27,1571606.0
2013-03-06,1544349.9
2013-03-13,1563595.9
2013-03-20,1556776.2
2013-03-27,1550926.5
2013-04-03,1555449.9
2013-04-10,1540338.0
2013-04-17,1547812.4
2013-04-24,1527253.5
2013-05-01,1534649.2
2013-05-08,1531461.1
2013-05-15,1545584.7
2013-05-22,1529168.4
2013-05-29,1536083.4
2013-06-05,1534649.2
2013-06-12,1540640.8
2013-06-19,1512477.7
2013-06-26,1526979.7
2013-07-03,1513287.3
2013-07-10,1513896.5
2013-07-17,1525336.8
2013-07-24,1504457.3
2013-07-31,1509307.0
2013-08-07,1533112.8
2013-08-14,1523292.5
2013-08-21,1502469.0
2013-08-28,1509400.6
2013-09-04,1512576.0
2013-09-11,1517149.0
2013-09-18,1514271.5
2013-09-25,1518760.5
2013-10-02,1539759.3
2013-10-09,1527677.5
2013-10-16,1517108.8
2013-10-23,1529904.4
2013-10-30,1531534.2
2013-11-06,1543570.6
2013-11-13,1544315.4
2013-11-20,1532466.1
2013-11-27,1546056.2
2013-12-04,1545605.3
2013-12-11,1559197.8
2013-12-18,1557615.9
2013-12-25,1540791.1
2014-01-01,1492320.3
2014-01-08,1536342.3
2014-01-15,1555212.1
2014-01-22,1549575.2
2014-01-29,1564796.6
2014-02-05,1552720.7
2014-02-12,1546125.2
2014-02-19,1546345.4
2014-02-26,1541359.1
2014-03-05,1563230.9
2014-03-12,1583209.0
2014-03-19,1592821.0
2014-03-26,1608969.4
2014-04-02,1623176.5
2014-04-09,1621193.4
2014-04-16,1624251.1
2014-04-23,1618097.4
2014-04-30,1622859.5
2014-05-07,1616165.0
2014-05-14,1625843.5
2014-05-21,1627931.4
2014-05-28,1661257.7
2014-06-04,1693078.2
2014-06-11,1689999.1
2014-06-18,1692187.9
2014-06-25,1691517.0
2014-07-02,1714675.0
2014-07-09,1717527.3
2014-07-16,1713230.7
2014-07-23,1701702.3
2014-07-30,1741645.1
2014-08-06,1731104.7
2014-08-13,1726462.9
2014-08-20,1728839.0
2014-08-27,1730263.4
2014-09-03,1728624.5
2014-09-10,1736397.0
2014-09-17,1732934.0
2014-09-24,1750307.4
2014-10-01,1767785.1
2014-10-08,1769541.1
2014-10-15,1772022.3
2014-10-22,1767444.7
2014-10-29,1756268.4
2014-11-05,1767033.7
2014-11-12,1765761.3
2014-11-19,1770257.6
2014-11-26,1774457.5
2014-12-03,1780637.4
2014-12-10,1776238.4
2014-12-17,1782268.8
2014-12-24,1802217.6
2014-12-31,1755713.5
2015-01-07,1801503.0
2015-01-14,1800878.7
2015-01-21,1800666.4
2015-01-28,1789888.4
2015-02-04,1779485.5
2015-02-11,1772043.0
2015-02-18,1771453.5
2015-02-25,1783281.1
2015-03-04,1803129.4
2015-03-11,1811323.0
2015-03-18,1826643.1
2015-03-25,1825956.1
2015-04-01,1819235.0
2015-04-08,1833230.4
2015-04-15,1826831.5
2015-04-22,1843272.7
2015-04-29,1834920.9
2015-05-06,1836173.9
2015-05-13,1832844.7
2015-05-20,1827139.5
2015-05-27,1841126.4
2015-06-03,1844843.3
2015-06-10,1848215.0
2015-06-17,1846063.6
2015-06-24,1829328.1
2015-07-01,1823342.4
2015-07-08,1837023.3
2015-07-15,1837420.7
2015-07-22,1847610.9
2015-07-29,1853319.6
2015-08-05,1810014.0
2015-08-12,1833334.8
2015-08-19,1857017.3
2015-08-26,1859220.8
2015-09-02,1834691.0
2015-09-09,1832655.7
2015-09-16,1824386.0
2015-09-23,1826181.2
2015-09-30,1728385.4
2015-10-07,1872188.5
2015-10-14,1869695.4
2015-10-21,1900314.2
2015-10-28,1906091.5
2015-11-04,1897618.6
2015-11-11,1898697.4
2015-11-18,1898553.8
2015-11-25,1895651.5
2015-12-02,1897798.0
2015-12-09,1899727.2
2015-12-16,1898567.7
2015-12-23,1911197.4
2015-12-30,1888506.1
2016-01-06,1901788.1
2016-01-13,1913799.6
2016-01-20,1902178.1
2016-01-27,1900562.3
2016-02-03,1926286.1
2016-02-10,1925541.9
2016-02-17,1914825.2
2016-02-24,1942372.0
2016-03-02,1956896.2
2016-03-09,1971084.0
2016-03-16,1960898.4
2016-03-23,1958371.4
2016-03-30,1926390.4
2016-04-06,1951405.2
2016-04-13,1958216.0
2016-04-20,1959728.2
2016-04-27,1981989.1
2016-05-04,1965798.9
2016-05-11,1976061.4
2016-05-18,1975115.7
2016-05-25,1986792.5
2016-06-01,1979690.4
2016-06-08,1990258.5
2016-06-15,1977836.1
2016-06-22,1974897.9
2016-06-29,1927536.7
2016-07-06,1982335.5
2016-07-13,1973725.2
2016-07-20,2004227.9
2016-07-27,1999346.3
2016-08-03,2004531.9
2016-08-10,1993057.0
2016-08-17,1995289.6
2016-08-24,1986536.5
2016-08-31,1992293.3
2016-09-07,1977734.5
2016-09-14,1999024.9
2016-09-21,2020859.1
2016-09-28,1976739.8
2016-10-05,1967646.7
2016-10-12,1986209.2
2016-10-19,1995988.3
2016-10-26,1968679.1
2016-11-02,1971272.5
2016-11-09,1949431.5
2016-11-16,1984594.9
2016-11-23,1986235.1
2016-11-30,1981734.3
2016-12-07,1975107.9
2016-12-14,1998507.4
2016-12-21,1955573.8
2016-12-28,1971490.5
2017-01-04,1972732.7
2017-01-11,1960597.9
2017-01-18,1962630.4
2017-01-25,1979636.0
2017-02-01,1986316.9
2017-02-08,1992375.0
2017-02-15,1998964.2
2017-02-22,2021993.6
2017-03-01,2009499.2
2017-03-08,2009318.7
2017-03-15,1999269.1
2017-03-22,1968416.5
2017-03-29,1955351.3
2017-04-05,1971274.0
2017-04-12,1972892.8
2017-04-19,1983842.9
2017-04-26,1987394.2
2017-05-03,1974665.2
2017-05-10,1971514.6
2017-05-17,1971598.9
2017-05-24,1993896.2
2017-05-31,1953069.6
2017-06-07,1961545.0
2017-06-14,1943544.8
2017-06-21,1996910.2
2017-06-28,1987583.0
2017-07-05,1964314.5
2017-07-12,1996686.0
2017-07-19,2010319.7
2017-07-26,2025992.2
2017-08-02,2040944.9
2017-08-09,2066139.9
2017-08-16,2052663.6
2017-08-23,2065163.1
2017-08-30,2063494.3
2017-09-06,2048809.0
2017-09-13,2064119.5
2017-09-20,2048559.7
2017-09-27,2070039.5
2017-10-04,2038886.3
2017-10-11,2023495.5
2017-10-18,2052708.6
2017-10-25,2046191.9
2017-11-01,2055433.7
2017-11-08,2064798.7
2017-11-15,2056191.4
2017-11-22,2058498.6
2017-11-29,2102793.0
2017-12-06,2104481.9
2017-12-13,2111162.9
2017-12-20,2105210.7
2017-12-27,2086479.9
2018-01-03,2115412.9
2018-01-10,2103639.4
2018-01-17,2111309.6
2018-01-24,2130501.0
2018-01-31,2113837.1
2018-02-07,2113760.1
2018-02-14,2124800.4
2018-02-21,2135128.2
2018-02-28,2120358.3
2018-03-07,2116512.0
2018-03-14,2081947.9
2018-03-21,2073173.7
2018-03-28,2005462.6
2018-04-04,2006695.8
2018-04-11,1999253.8
2018-04-18,2036753.4
2018-04-25,2034604.7
2018-05-02,2062789.1
2018-05-09,2054555.4
2018-05-16,2046230.7
2018-05-23,2025385.6
2018-05-30,2024931.9
2018-06-06,2027967.9
2018-06-13,2045930.8
2018-06-20,2031673.2
2018-06-27,2020626.6
2018-07-04,2021923.2
2018-07-11,2012289.1
2018-07-18,2012833.7
2018-07-25,1985908.6
2018-08-01,1991091.2
2018-08-08,1970641.6
2018-08-15,1955897.1
2018-08-22,1950509.8
2018-08-29,1962763.6
2018-09-05,1951017.3
2018-09-12,1968064.8
2018-09-19,1932803.1
2018-09-26,1967829.4
2018-10-03,2012888.1
2018-10-10,1979485.5
2018-10-17,1983867.5
2018-10-24,1978387.0
2018-10-31,1977720.6
2018-11-07,1976440.2
2018-11-14,1989257.2
2018-11-21,1981661.3
2018-11-28,1980988.1
2018-12-05,1938366.8
2018-12-12,1959883.0
2018-12-19,1955773.1
2018-12-26,1980014.9
2019-01-02,1994737.6
2019-01-09,1969384.6
2019-01-16,1991601.4
2019-01-23,1972739.3
2019-01-30,1964272.5
2019-02-06,1952421.9
2019-02-13,1952239.8
2019-02-20,1954756.4
2019-02-27,1975852.9
2019-03-06,1978913.8
2019-03-13,1982343.0
2019-03-20,1948025.8
2019-03-27,1930934.6
2019-04-03,1992890.5
2019-04-10,1974494.2
2019-04-17,1965677.1
2019-04-24,1965513.3
2019-05-01,2000338.5
2019-05-08,1977880.1
2019-05-15,1977283.1
2019-05-22,1959708.6
2019-05-29,1967399.0
2019-06-05,1971106.3
2019-06-12,1979971.2
2019-06-19,1961910.3
2019-06-26,1964959.8
2019-07-03,2027794.9
2019-07-10,2007653.5
2019-07-17,1989500.0
2019-07-24,1987440.7
2019-07-31,1998967.5
2019-08-07,1997251.6
2019-08-14,2009476.1
2019-08-21,2006100.1
2019-08-28,1995877.0
2019-09-04,1995776.5
2019-09-11,1996925.5
2019-09-18,2020710.7
2019-09-25,2007044.3
2019-10-02,2013051.5
2019-10-09,1972814.1
2019-10-16,2002073.9
2019-10-23,1977530.9
2019-10-30,1996204.6
2019-11-06,1997672.2
2019-11-13,1992997.9
2019-11-20,1966184.8
2019-11-27,1978880.1
2019-12-04,1995315.3
2019-12-11,1992614.9
2019-12-18,1984485.9
2019-12-25,2002921.6
2020-01-01,1959924.0
2020-01-08,1979221.4
2020-01-15,1962982.9
2020-01-22,1966803.0
2020-01-29,1960557.7
2020-02-05,1957666.4
2020-02-12,1959724.4
2020-02-19,1959503.7
2020-02-26,1953896.0
2020-03-04,2027518.5
2020-03-11,2084428.3
2020-03-18,2195857.9
2020-03-25,2306213.1
2020-04-01,2305021.1
2020-04-08,2288772.1
2020-04-15,2245861.2
2020-04-22,2187614.1
2020-04-29,2122791.8
2020-05-06,2068783.7
2020-05-13,2061116.7
2020-05-20,2016076.1
2020-05-27,1972549.5
2020-06-03,1902225.7
2020-06-10,1852712.2
2020-06-17,1831109.1
2020-06-24,1817472.0
2020-07-01,1783797.1
2020-07-08,1779401.0
2020-07-15,1789289.7
2020-07-22,1814911.8
2020-07-29,1791217.9
2020-08-05,1793504.0
2020-08-12,1790020.0
2020-08-19,1795549.9
2020-08-26,1789289.7
2020-09-02,1788878.5
2020-09-09,1791641.0
2020-09-16,1752781.2
2020-09-23,1776986.4
2020-09-30,1725519.3
2020-10-07,1781612.4
2020-10-14,1749864.1
2020-10-21,1764282.8
2020-10-28,1755485.4
2020-11-04,1738450.7
2020-11-11,1719402.2
2020-11-18,1742052.6
2020-11-25,1736294.6
2020-12-02,1718223.9
2020-12-09,1737461.8
2020-12-16,1719365.3
2020-12-23,1689141.7
2020-12-30,1680405.1
2021-01-06,1658690.0
2021-01-13,1641344.8
2021-01-20,1664670.4
2021-01-27,1661668.0
2021-02-03,1672075.8
2021-02-10,1677773.2
2021-02-17,1705270.6
2021-02-24,1722675.6
2021-03-03,1738721.6
