DATE,BUSAPPWNSAMI
2011-03-12,1810
2011-03-19,1700
2011-03-26,1810
2011-04-02,1860
2011-04-09,1770
2011-04-16,1620
2011-04-23,1620
2011-04-30,1560
2011-05-07,950
2011-05-14,1520
2011-05-21,1350
2011-05-28,1490
2011-06-04,1420
2011-06-11,1220
2011-06-18,1550
2011-06-25,1740
2011-07-02,1450
2011-07-09,1360
2011-07-16,1110
2011-07-23,1420
2011-07-30,1310
2011-08-06,1330
2011-08-13,1370
2011-08-20,1330
2011-08-27,1260
2011-09-03,1300
2011-09-10,1420
2011-09-17,1140
2011-09-24,1450
2011-10-01,1360
2011-10-08,1250
2011-10-15,1380
2011-10-22,1170
2011-10-29,1380
2011-11-05,1430
2011-11-12,1370
2011-11-19,1130
2011-11-26,1500
2011-12-03,990
2011-12-10,1290
2011-12-17,1420
2011-12-24,1420
2011-12-31,1370
2012-01-07,100
2012-01-14,1420
2012-01-21,2080
2012-01-28,1650
2012-02-04,1480
2012-02-11,1780
2012-02-18,1800
2012-02-25,1700
2012-03-03,1610
2012-03-10,1810
2012-03-17,1790
2012-03-24,1750
2012-03-31,1730
2012-04-07,1740
2012-04-14,1620
2012-04-21,1480
2012-04-28,1630
2012-05-05,1620
2012-05-12,1580
2012-05-19,1500
2012-05-26,1520
2012-06-02,1440
2012-06-09,1210
2012-06-16,1510
2012-06-23,1400
2012-06-30,1360
2012-07-07,1430
2012-07-14,1050
2012-07-21,1300
2012-07-28,1290
2012-08-04,1430
2012-08-11,1370
2012-08-18,1200
2012-08-25,1330
2012-09-01,1350
2012-09-08,1080
2012-09-15,910
2012-09-22,1560
2012-09-29,1360
2012-10-06,1390
2012-10-13,1360
2012-10-20,1210
2012-10-27,1320
2012-11-03,1330
2012-11-10,1320
2012-11-17,1270
2012-11-24,1220
2012-12-01,1020
2012-12-08,1170
2012-12-15,1230
2012-12-22,1070
2012-12-29,2510
2013-01-05,800
2013-01-12,1490
2013-01-19,2020
2013-01-26,1620
2013-02-02,1850
2013-02-09,1650
2013-02-16,1650
2013-02-23,1550
2013-03-02,1660
2013-03-09,1700
2013-03-16,1620
2013-03-23,1700
2013-03-30,1760
2013-04-06,1560
2013-04-13,1600
2013-04-20,1610
2013-04-27,1540
2013-05-04,1630
2013-05-11,1420
2013-05-18,1460
2013-05-25,1070
2013-06-01,1250
2013-06-08,1380
2013-06-15,880
2013-06-22,1600
2013-06-29,1630
2013-07-06,950
2013-07-13,1490
2013-07-20,1470
2013-07-27,1260
2013-08-03,1460
2013-08-10,1310
2013-08-17,1400
2013-08-24,1300
2013-08-31,1340
2013-09-07,960
2013-09-14,1450
2013-09-21,1360
2013-09-28,1120
2013-10-05,1460
2013-10-12,1130
2013-10-19,1060
2013-10-26,1460
2013-11-02,1390
2013-11-09,1390
2013-11-16,1130
2013-11-23,1390
2013-11-30,1130
2013-12-07,1180
2013-12-14,1300
2013-12-21,1280
2013-12-28,850
2014-01-04,330
2014-01-11,1490
2014-01-18,1880
2014-01-25,1500
2014-02-01,1790
2014-02-08,1770
2014-02-15,1770
2014-02-22,1500
2014-03-01,1630
2014-03-08,1760
2014-03-15,1760
2014-03-22,1710
2014-03-29,1890
2014-04-05,1690
2014-04-12,1530
2014-04-19,1620
2014-04-26,1560
2014-05-03,1700
2014-05-10,1510
2014-05-17,1430
2014-05-24,1500
2014-05-31,1170
2014-06-07,1490
2014-06-14,1510
2014-06-21,1370
2014-06-28,1370
2014-07-05,1360
2014-07-12,1130
2014-07-19,1270
2014-07-26,1370
2014-08-02,1350
2014-08-09,1310
2014-08-16,1330
2014-08-23,1450
2014-08-30,1310
2014-09-06,1080
2014-09-13,1360
2014-09-20,1390
2014-09-27,1420
2014-10-04,1420
2014-10-11,1350
2014-10-18,1190
2014-10-25,1410
2014-11-01,1370
2014-11-08,1340
2014-11-15,1210
2014-11-22,1290
2014-11-29,1020
2014-12-06,1180
2014-12-13,1330
2014-12-20,1420
2014-12-27,860
2015-01-03,330
2015-01-10,1850
2015-01-17,1320
2015-01-24,1830
2015-01-31,1700
2015-02-07,1500
2015-02-14,1700
2015-02-21,1470
2015-02-28,1780
2015-03-07,1840
2015-03-14,1770
2015-03-21,1780
2015-03-28,1770
2015-04-04,1840
2015-04-11,1590
2015-04-18,1610
2015-04-25,1690
2015-05-02,1640
2015-05-09,1500
2015-05-16,1450
2015-05-23,1490
2015-05-30,1160
2015-06-06,1520
2015-06-13,1460
2015-06-20,1480
2015-06-27,1450
2015-07-04,1370
2015-07-11,1160
2015-07-18,1360
2015-07-25,1370
2015-08-01,1410
2015-08-08,1360
2015-08-15,1410
2015-08-22,1320
2015-08-29,1320
2015-09-05,1360
2015-09-12,1080
2015-09-19,1470
2015-09-26,1430
2015-10-03,1420
2015-10-10,1450
2015-10-17,1250
2015-10-24,1480
2015-10-31,1430
2015-11-07,1360
2015-11-14,1270
2015-11-21,1310
2015-11-28,960
2015-12-05,1290
2015-12-12,1270
2015-12-19,1330
2015-12-26,1080
2016-01-02,370
2016-01-09,1970
2016-01-16,1410
2016-01-23,1900
2016-01-30,1890
2016-02-06,1510
2016-02-13,1930
2016-02-20,1740
2016-02-27,1750
2016-03-05,1730
2016-03-12,1850
2016-03-19,1860
2016-03-26,1870
2016-04-02,1830
2016-04-09,1900
2016-04-16,1710
2016-04-23,1650
2016-04-30,1790
2016-05-07,1850
2016-05-14,1620
2016-05-21,1590
2016-05-28,1580
2016-06-04,1080
2016-06-11,1520
2016-06-18,1440
2016-06-25,1510
2016-07-02,970
2016-07-09,1660
2016-07-16,1560
2016-07-23,1400
2016-07-30,1590
2016-08-06,1410
2016-08-13,1470
2016-08-20,1440
2016-08-27,1470
2016-09-03,1400
2016-09-10,1080
2016-09-17,1540
2016-09-24,1540
2016-10-01,1540
2016-10-08,1500
2016-10-15,1250
2016-10-22,1480
2016-10-29,1420
2016-11-05,1410
2016-11-12,1340
2016-11-19,1310
2016-11-26,970
2016-12-03,1340
2016-12-10,1510
2016-12-17,1470
2016-12-24,1300
2016-12-31,560
2017-01-07,1570
2017-01-14,1880
2017-01-21,1660
2017-01-28,1970
2017-02-04,2020
2017-02-11,2050
2017-02-18,1850
2017-02-25,1740
2017-03-04,2000
2017-03-11,1740
2017-03-18,1750
2017-03-25,1910
2017-04-01,1960
2017-04-08,1880
2017-04-15,1780
2017-04-22,1840
2017-04-29,1900
2017-05-06,1880
2017-05-13,1740
2017-05-20,1610
2017-05-27,1790
2017-06-03,1290
2017-06-10,1710
2017-06-17,1600
2017-06-24,1550
2017-07-01,1540
2017-07-08,1110
2017-07-15,1520
2017-07-22,1540
2017-07-29,1600
2017-08-05,1530
2017-08-12,1560
2017-08-19,1570
2017-08-26,1660
2017-09-02,1660
2017-09-09,1290
2017-09-16,1670
2017-09-23,1650
2017-09-30,1700
2017-10-07,1480
2017-10-14,1480
2017-10-21,1670
2017-10-28,1700
2017-11-04,1420
2017-11-11,1430
2017-11-18,1280
2017-11-25,1000
2017-12-02,1250
2017-12-09,1710
2017-12-16,1660
2017-12-23,1710
2017-12-30,270
2018-01-06,2010
2018-01-13,2040
2018-01-20,1830
2018-01-27,2040
2018-02-03,2160
2018-02-10,2180
2018-02-17,2100
2018-02-24,1970
2018-03-03,2220
2018-03-10,2400
2018-03-17,2570
2018-03-24,2170
2018-03-31,2240
2018-04-07,1990
2018-04-14,2080
2018-04-21,2040
2018-04-28,2050
2018-05-05,1980
2018-05-12,2010
2018-05-19,1900
2018-05-26,1860
2018-06-02,1560
2018-06-09,1930
2018-06-16,1770
2018-06-23,1830
2018-06-30,1700
2018-07-07,1280
2018-07-14,1700
2018-07-21,1710
2018-07-28,1830
2018-08-04,1820
2018-08-11,1640
2018-08-18,1720
2018-08-25,1660
2018-09-01,1680
2018-09-08,1450
2018-09-15,1780
2018-09-22,1750
2018-09-29,1740
2018-10-06,1630
2018-10-13,1560
2018-10-20,1550
2018-10-27,1740
2018-11-03,1730
2018-11-10,1460
2018-11-17,1550
2018-11-24,1370
2018-12-01,1600
2018-12-08,1490
2018-12-15,1670
2018-12-22,1900
2018-12-29,720
2019-01-05,1200
2019-01-12,2230
2019-01-19,1970
2019-01-26,2000
2019-02-02,2050
2019-02-09,2210
2019-02-16,2180
2019-02-23,1950
2019-03-02,2110
2019-03-09,2210
2019-03-16,2490
2019-03-23,2580
2019-03-30,2410
2019-04-06,2350
2019-04-13,1990
2019-04-20,2120
2019-04-27,2110
2019-05-04,2150
2019-05-11,1910
2019-05-18,1860
2019-05-25,1980
2019-06-01,1480
2019-06-08,1840
2019-06-15,1790
2019-06-22,1670
2019-06-29,1700
2019-07-06,1260
2019-07-13,1710
2019-07-20,1700
2019-07-27,1590
2019-08-03,1810
2019-08-10,1750
2019-08-17,1630
2019-08-24,1640
2019-08-31,1760
2019-09-07,1400
2019-09-14,1730
2019-09-21,1810
2019-09-28,1720
2019-10-05,1890
2019-10-12,1640
2019-10-19,1500
2019-10-26,1760
2019-11-02,1790
2019-11-09,1690
2019-11-16,1420
2019-11-23,1670
2019-11-30,1240
2019-12-07,1530
2019-12-14,1530
2019-12-21,1640
2019-12-28,1070
2020-01-04,860
2020-01-11,2420
2020-01-18,2180
2020-01-25,2020
2020-02-01,2350
2020-02-08,2150
2020-02-15,2240
2020-02-22,2010
2020-02-29,2300
2020-03-07,2470
2020-03-14,2210
2020-03-21,1790
2020-03-28,1290
2020-04-04,1570
2020-04-11,1610
2020-04-18,1620
2020-04-25,1760
2020-05-02,1880
2020-05-09,1770
2020-05-16,1780
2020-05-23,2100
2020-05-30,1700
2020-06-06,2010
2020-06-13,2200
2020-06-20,2400
2020-06-27,2950
2020-07-04,3540
2020-07-11,4100
2020-07-18,4860
2020-07-25,4050
2020-08-01,4020
2020-08-08,4150
2020-08-15,3990
2020-08-22,3500
2020-08-29,3340
2020-09-05,3250
2020-09-12,2530
2020-09-19,2870
2020-09-26,2910
2020-10-03,2830
2020-10-10,2510
2020-10-17,2500
2020-10-24,2550
2020-10-31,2740
2020-11-07,2280
2020-11-14,2390
2020-11-21,2390
2020-11-28,1890
2020-12-05,2300
2020-12-12,2440
2020-12-19,2610
2020-12-26,.
2021-01-02,1680
2021-01-09,3080
2021-01-16,3920
2021-01-23,3730
2021-01-30,3950
2021-02-06,3490
2021-02-13,3400
2021-02-20,3280
2021-02-27,3380
2021-03-06,3500
