DATE,BUSAPPWNSAUS
2011-03-12,59500
2011-03-19,58570
2011-03-26,58160
2011-04-02,57940
2011-04-09,59180
2011-04-16,56890
2011-04-23,55080
2011-04-30,48500
2011-05-07,31010
2011-05-14,51620
2011-05-21,49010
2011-05-28,50600
2011-06-04,48790
2011-06-11,44230
2011-06-18,54730
2011-06-25,53160
2011-07-02,49760
2011-07-09,49150
2011-07-16,38000
2011-07-23,47770
2011-07-30,48100
2011-08-06,47850
2011-08-13,47460
2011-08-20,47160
2011-08-27,46450
2011-09-03,47010
2011-09-10,46690
2011-09-17,37420
2011-09-24,48650
2011-10-01,47060
2011-10-08,42520
2011-10-15,48500
2011-10-22,40220
2011-10-29,47200
2011-11-05,47480
2011-11-12,45730
2011-11-19,38930
2011-11-26,52260
2011-12-03,32760
2011-12-10,44030
2011-12-17,46100
2011-12-24,46650
2011-12-31,44690
2012-01-07,3680
2012-01-14,50320
2012-01-21,66650
2012-01-28,58210
2012-02-04,48710
2012-02-11,61710
2012-02-18,60600
2012-02-25,57220
2012-03-03,55170
2012-03-10,61310
2012-03-17,60570
2012-03-24,60150
2012-03-31,57520
2012-04-07,59300
2012-04-14,56880
2012-04-21,53720
2012-04-28,56000
2012-05-05,54230
2012-05-12,54360
2012-05-19,52810
2012-05-26,51490
2012-06-02,50220
2012-06-09,41190
2012-06-16,50750
2012-06-23,48640
2012-06-30,48720
2012-07-07,48710
2012-07-14,38250
2012-07-21,45480
2012-07-28,46870
2012-08-04,46730
2012-08-11,46590
2012-08-18,45370
2012-08-25,45900
2012-09-01,47070
2012-09-08,38410
2012-09-15,34720
2012-09-22,54140
2012-09-29,48980
2012-10-06,48000
2012-10-13,48220
2012-10-20,40790
2012-10-27,47350
2012-11-03,47220
2012-11-10,41600
2012-11-17,43280
2012-11-24,40940
2012-12-01,34940
2012-12-08,38730
2012-12-15,42610
2012-12-22,36390
2012-12-29,86670
2013-01-05,29360
2013-01-12,54560
2013-01-19,70250
2013-01-26,55560
2013-02-02,60450
2013-02-09,56160
2013-02-16,56540
2013-02-23,52900
2013-03-02,60300
2013-03-09,60180
2013-03-16,59300
2013-03-23,59350
2013-03-30,57150
2013-04-06,53790
2013-04-13,56940
2013-04-20,55800
2013-04-27,54450
2013-05-04,56740
2013-05-11,53680
2013-05-18,50590
2013-05-25,41820
2013-06-01,45120
2013-06-08,52180
2013-06-15,35080
2013-06-22,55620
2013-06-29,57650
2013-07-06,32890
2013-07-13,53780
2013-07-20,50270
2013-07-27,48140
2013-08-03,50000
2013-08-10,49710
2013-08-17,48320
2013-08-24,48890
2013-08-31,50130
2013-09-07,38000
2013-09-14,51610
2013-09-21,50780
2013-09-28,40980
2013-10-05,57060
2013-10-12,42130
2013-10-19,38070
2013-10-26,52020
2013-11-02,52650
2013-11-09,49900
2013-11-16,42530
2013-11-23,49980
2013-11-30,37050
2013-12-07,41520
2013-12-14,45920
2013-12-21,47040
2013-12-28,34090
2014-01-04,12310
2014-01-11,64310
2014-01-18,71900
2014-01-25,52580
2014-02-01,61170
2014-02-08,61230
2014-02-15,58950
2014-02-22,54280
2014-03-01,62850
2014-03-08,61850
2014-03-15,61480
2014-03-22,61960
2014-03-29,63520
2014-04-05,61810
2014-04-12,59080
2014-04-19,57460
2014-04-26,55190
2014-05-03,58590
2014-05-10,55980
2014-05-17,53440
2014-05-24,54000
2014-05-31,42930
2014-06-07,53950
2014-06-14,52650
2014-06-21,51470
2014-06-28,51960
2014-07-05,49630
2014-07-12,41230
2014-07-19,48250
2014-07-26,50670
2014-08-02,50140
2014-08-09,49540
2014-08-16,50080
2014-08-23,51110
2014-08-30,50980
2014-09-06,40850
2014-09-13,51600
2014-09-20,51240
2014-09-27,51430
2014-10-04,51020
2014-10-11,50390
2014-10-18,43710
2014-10-25,48780
2014-11-01,50850
2014-11-08,49270
2014-11-15,44150
2014-11-22,47510
2014-11-29,36640
2014-12-06,43450
2014-12-13,48430
2014-12-20,48870
2014-12-27,35240
2015-01-03,12310
