DATE,CASACBW027SBOG
2011-03-09,1459.5072
2011-03-16,1411.8176
2011-03-23,1471.673
2011-03-30,1559.5756
2011-04-06,1604.8636
2011-04-13,1617.9724
2011-04-20,1586.8413
2011-04-27,1580.2865
2011-05-04,1597.2365
2011-05-11,1629.1719
2011-05-18,1621.3756
2011-05-25,1657.8952
2011-06-01,1657.2309
2011-06-08,1729.5418
2011-06-15,1667.1778
2011-06-22,1730.6336
2011-06-29,1735.2448
2011-07-06,1739.227
2011-07-13,1738.8194
2011-07-20,1724.2291
2011-07-27,1730.9834
2011-08-03,1726.5638
2011-08-10,1715.7036
2011-08-17,1717.0292
2011-08-24,1712.8432
2011-08-31,1700.3045
2011-09-07,1686.707
2011-09-14,1747.123
2011-09-21,1721.4752
2011-09-28,1772.3327
2011-10-05,1782.5229
2011-10-12,1730.9965
2011-10-19,1742.8084
2011-10-26,1731.9509
2011-11-02,1642.4724
2011-11-09,1692.6569
2011-11-16,1650.1418
2011-11-23,1583.9114
2011-11-30,1621.6273
2011-12-07,1655.7384
2011-12-14,1746.6037
2011-12-21,1691.8984
2011-12-28,1765.7214
2012-01-04,1783.8361
2012-01-11,1711.2917
2012-01-18,1683.6132
2012-01-25,1710.0062
2012-02-01,1717.8174
2012-02-08,1744.4254
2012-02-15,1766.2334
2012-02-22,1673.1805
2012-02-29,1684.0605
2012-03-07,1670.1201
2012-03-14,1642.1645
2012-03-21,1629.973
2012-03-28,1630.8772
2012-04-04,1637.4528
2012-04-11,1634.6651
2012-04-18,1622.2014
2012-04-25,1657.2647
2012-05-02,1647.8372
2012-05-09,1648.9609
2012-05-16,1626.6065
2012-05-23,1625.183
2012-05-30,1617.6495
2012-06-06,1628.9622
2012-06-13,1660.7076
2012-06-20,1602.1102
2012-06-27,1624.8435
2012-07-04,1628.5572
2012-07-11,1607.3882
2012-07-18,1625.315
2012-07-25,1668.6624
2012-08-01,1647.1782
2012-08-08,1667.4702
2012-08-15,1658.7006
2012-08-22,1626.1066
2012-08-29,1647.249
2012-09-05,1632.1035
2012-09-12,1609.3264
2012-09-19,1561.449
2012-09-26,1607.9042
2012-10-03,1633.1975
2012-10-10,1580.4699
2012-10-17,1637.6282
2012-10-24,1580.4241
2012-10-31,1588.4823
2012-11-07,1638.5165
2012-11-14,1633.4761
2012-11-21,1659.3542
2012-11-28,1716.2521
2012-12-05,1690.3908
2012-12-12,1717.9168
2012-12-19,1720.4103
2012-12-26,1797.0789
2013-01-02,1801.2227
2013-01-09,1751.4372
2013-01-16,1780.5039
2013-01-23,1800.3318
2013-01-30,1862.9539
2013-02-06,1854.7984
2013-02-13,1844.0616
2013-02-20,1788.6478
2013-02-27,1878.8515
2013-03-06,1858.3721
2013-03-13,1914.8932
2013-03-20,1907.5405
2013-03-27,1955.1368
2013-04-03,1967.0891
2013-04-10,1934.6483
2013-04-17,1975.5293
2013-04-24,1911.6331
2013-05-01,1991.4244
2013-05-08,1995.8336
2013-05-15,2057.8571
2013-05-22,2063.6158
