DATE,TOTCI
2011-03-09,1202.8021
2011-03-16,1208.1004
2011-03-23,1208.4953
2011-03-30,1208.4556
2011-04-06,1210.7263
2011-04-13,1209.3953
2011-04-20,1217.4311
2011-04-27,1217.7277
2011-05-04,1222.7806
2011-05-11,1229.8788
2011-05-18,1223.623
2011-05-25,1229.6575
2011-06-01,1237.1425
2011-06-08,1232.3523
2011-06-15,1234.4451
2011-06-22,1231.4872
2011-06-29,1235.1004
2011-07-06,1237.173
2011-07-13,1239.1504
2011-07-20,1242.9487
2011-07-27,1250.8948
2011-08-03,1254.5383
2011-08-10,1257.1867
2011-08-17,1262.5045
2011-08-24,1267.6279
2011-08-31,1269.759
2011-09-07,1269.8897
2011-09-14,1268.6677
2011-09-21,1269.2659
2011-09-28,1270.1768
2011-10-05,1272.6436
2011-10-12,1275.5003
2011-10-19,1278.9761
2011-10-26,1283.3514
2011-11-02,1291.0373
2011-11-09,1292.4377
2011-11-16,1293.027
2011-11-23,1291.6906
2011-11-30,1295.0033
2011-12-07,1298.2987
2011-12-14,1301.562
2011-12-21,1304.75
2011-12-28,1307.6449
2012-01-04,1311.3113
2012-01-11,1315.2056
2012-01-18,1317.247
2012-01-25,1321.3034
2012-02-01,1339.8683
2012-02-08,1340.0284
2012-02-15,1346.0283
2012-02-22,1344.1699
2012-02-29,1348.2682
2012-03-07,1347.145
2012-03-14,1348.1001
2012-03-21,1349.775
2012-03-28,1354.6118
2012-04-04,1361.9249
2012-04-11,1368.1268
2012-04-18,1368.0622
2012-04-25,1370.9811
2012-05-02,1371.2745
2012-05-09,1374.1578
2012-05-16,1376.01
2012-05-23,1380.9218
2012-05-30,1384.6137
2012-06-06,1393.6498
2012-06-13,1394.5836
2012-06-20,1400.0624
2012-06-27,1399.2168
2012-07-04,1406.5755
2012-07-11,1408.8738
2012-07-18,1413.6248
2012-07-25,1415.9964
2012-08-01,1421.3526
2012-08-08,1426.5174
2012-08-15,1424.4704
2012-08-22,1425.898
2012-08-29,1425.8322
2012-09-05,1430.4141
2012-09-12,1430.5102
2012-09-19,1430.7571
2012-09-26,1439.6574
2012-10-03,1443.205
2012-10-10,1448.3179
2012-10-17,1448.9087
2012-10-24,1447.8091
