DATE,CLSACBW027SBOG
2011-03-09,1070.5337
2011-03-16,1070.3917
2011-03-23,1069.6745
2011-03-30,1073.2556
2011-04-06,1078.8057
2011-04-13,1076.8465
2011-04-20,1077.2796
2011-04-27,1076.2539
2011-05-04,1075.6947
2011-05-11,1075.3268
2011-05-18,1075.6396
2011-05-25,1075.3048
2011-06-01,1078.677
2011-06-08,1078.6107
2011-06-15,1078.8737
2011-06-22,1079.1981
2011-06-29,1082.5171
2011-07-06,1082.1699
2011-07-13,1081.3557
2011-07-20,1081.8615
2011-07-27,1081.5916
2011-08-03,1081.7678
2011-08-10,1081.445
2011-08-17,1080.922
2011-08-24,1079.8341
2011-08-31,1080.6429
2011-09-07,1080.2726
2011-09-14,1079.3036
2011-09-21,1078.017
2011-09-28,1078.8028
2011-10-05,1082.7513
2011-10-12,1082.6594
2011-10-19,1082.984
2011-10-26,1082.8079
2011-11-02,1082.7366
2011-11-09,1083.7769
2011-11-16,1083.9636
2011-11-23,1084.9138
2011-11-30,1085.6692
2011-12-07,1084.5304
2011-12-14,1085.3031
2011-12-21,1086.3468
2011-12-28,1087.4989
2012-01-04,1088.6527
2012-01-11,1086.5244
2012-01-18,1085.294
2012-01-25,1082.1904
2012-02-01,1087.0403
2012-02-08,1086.4907
2012-02-15,1086.2162
2012-02-22,1086.9951
2012-02-29,1090.6794
2012-03-07,1090.7359
2012-03-14,1090.5999
2012-03-21,1089.3808
2012-03-28,1091.2907
2012-04-04,1093.2843
2012-04-11,1091.922
2012-04-18,1090.6908
2012-04-25,1090.3684
2012-05-02,1100.5893
2012-05-09,1100.2955
2012-05-16,1100.3825
2012-05-23,1099.8671
2012-05-30,1104.7487
2012-06-06,1103.6836
2012-06-13,1102.1802
2012-06-20,1100.2156
2012-06-27,1098.592
2012-07-04,1099.96
2012-07-11,1098.8218
2012-07-18,1098.1128
2012-07-25,1097.6553
2012-08-01,1099.5772
2012-08-08,1100.0344
2012-08-15,1100.2743
2012-08-22,1100.4986
2012-08-29,1102.6403
2012-09-05,1102.4709
2012-09-12,1101.8222
2012-09-19,1102.5253
2012-09-26,1103.8792
2012-10-03,1105.7153
2012-10-10,1106.0664
2012-10-17,1103.7876
2012-10-24,1103.3285
2012-10-31,1105.5287
2012-11-07,1105.4197
2012-11-14,1105.5433
2012-11-21,1103.8465
2012-11-28,1104.3616
2012-12-05,1102.0378
2012-12-12,1101.8241
2012-12-19,1102.625
2012-12-26,1103.4278
2013-01-02,1103.5266
2013-01-09,1102.9749
2013-01-16,1102.2036
2013-01-23,1103.2724
2013-01-30,1106.0229
2013-02-06,1106.8786
2013-02-13,1108.0302
2013-02-20,1108.5214
2013-02-27,1111.0202
2013-03-06,1109.2038
2013-03-13,1113.8332
2013-03-20,1113.5517
2013-03-27,1113.0553
2013-04-03,1114.2807
2013-04-10,1115.403
2013-04-17,1116.1338
2013-04-24,1117.0128
2013-05-01,1118.5425
2013-05-08,1118.7301
2013-05-15,1119.6436
2013-05-22,1121.3354
2013-05-29,1122.967
2013-06-05,1123.7205
2013-06-12,1125.2563
2013-06-19,1126.1592
2013-06-26,1126.8957
2013-07-03,1123.9246
2013-07-10,1124.8225
2013-07-17,1124.3656
2013-07-24,1123.8841
2013-07-31,1124.9778
2013-08-07,1125.9398
2013-08-14,1126.8252
2013-08-21,1127.4092
2013-08-28,1128.1057
2013-09-04,1129.4192
2013-09-11,1129.5866
2013-09-18,1129.7114
2013-09-25,1129.2026
2013-10-02,1132.3191
2013-10-09,1133.3517
2013-10-16,1133.9879
2013-10-23,1135.5349
2013-10-30,1138.2242
2013-11-06,1139.0381
2013-11-13,1140.0136
2013-11-20,1124.6991
2013-11-27,1123.5539
2013-12-04,1125.6084
2013-12-11,1127.3755
