DATE,DPSACBW027SBOG
2011-03-09,7978.6862
2011-03-16,7986.838
2011-03-23,7999.0639
2011-03-30,7995.7747
2011-04-06,8047.6119
2011-04-13,8058.4581
2011-04-20,8077.73
2011-04-27,8098.1017
2011-05-04,8140.7756
2011-05-11,8164.5532
2011-05-18,8131.1057
2011-05-25,8190.7968
2011-06-01,8202.231
2011-06-08,8156.3444
2011-06-15,8165.6307
2011-06-22,8225.6532
2011-06-29,8219.7615
2011-07-06,8257.0014
2011-07-13,8262.296
2011-07-20,8239.2928
2011-07-27,8326.2368
2011-08-03,8353.902
2011-08-10,8354.1296
2011-08-17,8351.2351
2011-08-24,8355.6818
2011-08-31,8355.1979
2011-09-07,8360.2657
2011-09-14,8381.6426
2011-09-21,8384.1911
2011-09-28,8391.6316
2011-10-05,8393.3347
2011-10-12,8370.953
2011-10-19,8350.7334
2011-10-26,8385.0873
2011-11-02,8409.9315
2011-11-09,8391.4254
2011-11-16,8400.7054
2011-11-23,8390.8057
2011-11-30,8401.9702
2011-12-07,8410.8469
2011-12-14,8432.4112
2011-12-21,8400.5798
2011-12-28,8432.7666
2012-01-04,8487.1533
2012-01-11,8482.6059
2012-01-18,8456.3377
2012-01-25,8477.83
2012-02-01,8554.4905
2012-02-08,8557.7723
2012-02-15,8553.8003
2012-02-22,8541.6522
2012-02-29,8575.3276
2012-03-07,8582.9695
2012-03-14,8628.7836
2012-03-21,8601.205
2012-03-28,8595.1148
2012-04-04,8651.9503
2012-04-11,8641.7657
2012-04-18,8615.8638
2012-04-25,8664.2905
2012-05-02,8676.7158
2012-05-09,8674.849
2012-05-16,8681.8936
2012-05-23,8677.0651
2012-05-30,8635.6983
2012-06-06,8730.7047
2012-06-13,8745.0126
2012-06-20,8706.3145
2012-06-27,8744.3963
2012-07-04,8791.4866
2012-07-11,8788.3789
2012-07-18,8772.9356
2012-07-25,8845.5628
2012-08-01,8828.753
2012-08-08,8867.0548
2012-08-15,8873.9977
2012-08-22,8881.9842
2012-08-29,8875.1244
2012-09-05,8921.363
2012-09-12,8908.492
2012-09-19,8899.3372
2012-09-26,8944.9747
2012-10-03,8980.8621
2012-10-10,8971.0417
2012-10-17,8978.8605
2012-10-24,8985.7167
2012-10-31,9053.7483
2012-11-07,9086.5892
2012-11-14,9131.1388
2012-11-21,9106.1894
2012-11-28,9104.1183
2012-12-05,9188.1387
2012-12-12,9201.4523
2012-12-19,9239.6461
2012-12-26,9305.1259
2013-01-02,9324.4636
2013-01-09,9255.9074
2013-01-16,9246.0527
2013-01-23,9255.2801
2013-01-30,9241.0592
2013-02-06,9267.9101
2013-02-13,9272.2167
2013-02-20,9243.616
2013-02-27,9267.0883
2013-03-06,9284.8795
2013-03-13,9309.5091
2013-03-20,9303.4879
2013-03-27,9392.4134
2013-04-03,9365.2415
2013-04-10,9354.076
2013-04-17,9367.2539
2013-04-24,9358.2707
2013-05-01,9387.4021
2013-05-08,9363.0795
2013-05-15,9391.6271
2013-05-22,9401.6002
2013-05-29,9388.6237
2013-06-05,9428.9649
2013-06-12,9446.9744
2013-06-19,9400.1782
2013-06-26,9431.7455
2013-07-03,9441.4592
2013-07-10,9449.4046
2013-07-17,9505.7041
2013-07-24,9509.8592
2013-07-31,9514.3718
2013-08-07,9507.4531
2013-08-14,9537.2214
2013-08-21,9523.0966
2013-08-28,9556.9946
2013-09-04,9563.3082
2013-09-11,9559.7489
2013-09-18,9587.138
2013-09-25,9627.8992
2013-10-02,9657.7252
2013-10-09,9642.383
2013-10-16,9726.1952
2013-10-23,9697.8158
2013-10-30,9694.6653
2013-11-06,9674.6457
2013-11-13,9702.1488
2013-11-20,9712.4965
2013-11-27,9776.3394
2013-12-04,9768.8979
2013-12-11,9774.7297
2013-12-18,9772.9567
2013-12-25,9845.9089
2014-01-01,9844.7094
2014-01-08,9836.4606
2014-01-15,9864.6902
2014-01-22,9881.8878
2014-01-29,9878.0352
2014-02-05,9888.145
2014-02-12,9930.3343
2014-02-19,9958.7861
2014-02-26,9915.6565
2014-03-05,9967.1736
2014-03-12,9990.1344
2014-03-19,10005.8343
2014-03-26,10000.5434
2014-04-02,10013.6518
2014-04-09,10070.3499
2014-04-16,10074.8464
2014-04-23,10082.0168
2014-04-30,10148.1742
2014-05-07,10111.5063
2014-05-14,10130.393
2014-05-21,10149.6024
2014-05-28,10167.0652
2014-06-04,10153.9487
2014-06-11,10162.1767
2014-06-18,10140.4912
2014-06-25,10198.6166
2014-07-02,10184.3049
2014-07-09,10212.4274
2014-07-16,10236.6747
2014-07-23,10235.5514
2014-07-30,10212.6427
2014-08-06,10183.4101
2014-08-13,10184.7839
2014-08-20,10224.2397
2014-08-27,10257.2777
2014-09-03,10327.0904
2014-09-10,10308.8811
2014-09-17,10333.5128
2014-09-24,10363.2567
2014-10-01,10313.2262
