DATE,DNFINCP
2011-03-16,108.541257813
2011-03-23,119.64534375
2011-03-30,119.933960938
2011-04-06,118.685914063
2011-04-13,121.431929688
2011-04-20,119.511078125
2011-04-27,122.248070313
2011-05-04,122.727234375
2011-05-11,124.732296875
2011-05-18,127.281125
2011-05-25,125.596476563
2011-06-01,120.108773438
2011-06-08,123.584679688
2011-06-15,120.691507813
2011-06-22,136.8405
2011-06-29,133.570515625
2011-07-06,136.73053125
2011-07-13,145.655078125
2011-07-20,149.30453125
2011-07-27,149.3630625
2011-08-03,149.780765625
2011-08-10,151.429890625
2011-08-17,150.0704375
2011-08-24,147.350640625
2011-08-31,141.472546875
2011-09-07,142.58184375
2011-09-14,137.538484375
2011-09-21,149.601453125
2011-09-28,140.760203125
2011-10-05,142.821734375
2011-10-12,143.6515625
2011-10-19,145.950296875
2011-10-26,153.641359375
2011-11-02,152.95403125
2011-11-09,154.96390625
2011-11-16,156.92775
2011-11-23,162.756283547
2011-11-30,159.150010688
2011-12-07,162.33762523
2011-12-14,161.685913717
2011-12-21,162.41417127
2011-12-28,158.08669558
2012-01-04,133.080058883
2012-01-11,148.250610417
2012-01-18,150.727824922
2012-01-25,154.385341781
2012-02-01,152.929293625
2012-02-08,155.181787525
2012-02-15,152.511615413
2012-02-22,152.577512867
2012-02-29,150.987769237
2012-03-07,154.203005614
2012-03-14,150.178620668
2012-03-21,156.942014449
2012-03-28,151.645821144
2012-04-04,149.198859375
2012-04-11,147.090234375
2012-04-18,150.232234375
2012-04-25,148.778296875
2012-05-02,150.4356875
2012-05-09,155.132578125
2012-05-16,155.704234375
2012-05-23,163.0853125
2012-05-30,158.599171875
2012-06-06,158.182734375
2012-06-13,160.11009375
2012-06-20,170.311171065
2012-06-27,169.477028634
2012-07-04,143.873555136
2012-07-11,157.712672077
2012-07-18,151.940704556
2012-07-25,155.314410753
2012-08-01,146.27196875
2012-08-08,151.71475
2012-08-15,143.9235625
2012-08-22,146.435046875
2012-08-29,145.892234375
2012-09-05,142.7981875
2012-09-12,142.052046875
2012-09-19,151.38
2012-09-26,148.600265625
2012-10-03,148.83565625
2012-10-10,145.324265625
2012-10-17,141.732140625
2012-10-24,138.690046875
2012-10-31,137.85259375
2012-11-07,149.667828125
2012-11-14,140.840625
2012-11-21,149.661484375
2012-11-28,153.24259375
2012-12-05,157.983671875
2012-12-12,162.573859375
2012-12-19,165.406765625
2012-12-26,168.18065625
2013-01-02,159.56421875
2013-01-09,163.406125
2013-01-16,167.7834375
2013-01-23,168.201087614
2013-01-30,173.389652483
2013-02-06,178.946873105
2013-02-13,176.042377283
2013-02-20,185.819710869
2013-02-27,184.801572629
2013-03-06,171.058559158
2013-03-13,168.781151961
2013-03-20,160.345120292
2013-03-27,159.536186181
2013-04-03,147.689419432
2013-04-10,146.782959021
2013-04-17,145.768656119
2013-04-24,143.705246287
2013-05-01,147.570620317
2013-05-08,147.072202215
2013-05-15,145.23191947
2013-05-22,154.918073391
2013-05-29,159.138051249
2013-06-05,163.318995463
2013-06-12,167.731792452
2013-06-19,172.322122255
2013-06-26,181.780794943
2013-07-03,181.771628093
2013-07-10,166.89936682
2013-07-17,157.488139339
2013-07-24,159.068112697
2013-07-31,146.171244647
2013-08-07,139.347341823
2013-08-14,134.51347355
2013-08-21,150.677828125
2013-08-28,156.21146875
2013-09-04,156.354046875
2013-09-11,168.192255646
2013-09-18,171.840948699
2013-09-25,184.386155264
2013-10-02,176.152807363
2013-10-09,189.593466747
2013-10-16,195.234078812
2013-10-23,183.442001335
2013-10-30,178.834965188
2013-11-06,168.57889911
2013-11-13,160.712157912
2013-11-20,154.718831329
2013-11-27,164.223449684
2013-12-04,158.63181325
2013-12-11,166.583840589
2013-12-18,177.801653633
2013-12-25,178.441751601
2014-01-01,174.872364318
2014-01-08,180.536763721
2014-01-15,179.810885622
2014-01-22,180.120165725
2014-01-29,178.063016472
2014-02-05,178.343296659
2014-02-12,178.666617442
2014-02-19,182.187947942
2014-02-26,180.448977568
2014-03-05,179.195622576
2014-03-12,179.169097228
2014-03-19,183.99823994
2014-03-26,197.483275093
2014-04-02,200.709591698
2014-04-09,208.196710945
2014-04-16,214.77025
2014-04-23,215.333796875
2014-04-30,207.24153125
2014-05-07,216.87384375
2014-05-14,214.681515625
2014-05-21,211.471546875
2014-05-28,211.75840625
2014-06-04,212.413734375
2014-06-11,212.768953125
2014-06-18,208.5111875
2014-06-25,211.53846875
2014-07-02,204.425796875
2014-07-09,198.118
2014-07-16,195.82103125
2014-07-23,199.60346875
2014-07-30,204.6369375
2014-08-06,206.21728125
2014-08-13,211.49521875
2014-08-20,218.07490625
2014-08-27,228.17446875
2014-09-03,230.70190625
2014-09-10,235.449265625
2014-09-17,229.35365625
2014-09-24,229.2973125
2014-10-01,211.742578125
2014-10-08,211.627578125
2014-10-15,197.715859375
2014-10-22,204.56553125
2014-10-29,207.333921875
2014-11-05,210.8069375
2014-11-12,216.752078125
2014-11-19,223.618359375
2014-11-26,233.09746875
2014-12-03,236.98959375
2014-12-10,240.6005
2014-12-17,238.740703125
2014-12-24,224.6754375
2014-12-31,194.597671875
2015-01-07,239.963144269
2015-01-14,225.467421875
2015-01-21,226.324359653
2015-01-28,225.216390625
2015-02-04,220.09275
2015-02-11,206.555625
2015-02-18,202.487464354
2015-02-25,195.408408046
2015-03-04,203.990900272
2015-03-11,202.119275138
2015-03-18,205.621594328
2015-03-25,203.295106052
2015-04-01,201.81680344
2015-04-08,212.410639431
2015-04-15,224.01531648
2015-04-22,218.97537402
2015-04-29,221.488950995
2015-05-06,219.561319562
2015-05-13,201.967778583
2015-05-20,208.535378972
2015-05-27,183.811335564
2015-06-03,196.271325564
2015-06-10,194.42463056
2015-06-17,195.941250663
2015-06-24,184.440132718
2015-07-01,168.108513944
2015-07-08,203.917151527
2015-07-15,203.071591909
2015-07-22,210.527065022
2015-07-29,212.247603936
2015-08-05,228.192924017
2015-08-12,221.951001494
2015-08-19,227.829830728
2015-08-26,220.916255666
2015-09-02,220.397382779
2015-09-09,222.017856413
2015-09-16,223.808936782
2015-09-23,207.528306835
2015-09-30,166.126376119
2015-10-07,217.799936117
2015-10-14,216.569457728
2015-10-21,221.711735222
2015-10-28,215.035631045
2015-11-04,228.668010808
2015-11-11,229.698174983
2015-11-18,241.678274194
2015-11-25,235.22638124
2015-12-02,234.143839144
2015-12-09,232.346749667
2015-12-16,234.521620045
2015-12-23,216.946147174
2015-12-30,220.024037531
2016-01-06,228.720255338
2016-01-13,218.944746079
2016-01-20,223.461077235
2016-01-27,228.412234375
2016-02-03,229.43503125
2016-02-10,233.93921875
2016-02-17,242.155234375
2016-02-24,237.559765625
2016-03-02,231.817203125
2016-03-09,225.420796875
2016-03-16,226.649171875
2016-03-23,222.43140625
2016-03-30,217.142125
2016-04-06,216.600328125
2016-04-13,211.718625
2016-04-20,215.765046875
2016-04-27,221.303234375
2016-05-04,227.967796875
2016-05-11,232.79375
2016-05-18,233.992687019
2016-05-25,240.919248596
2016-06-01,235.972794778
2016-06-08,234.658646638
2016-06-15,232.505068341
2016-06-22,233.860046446
2016-06-29,224.032309221
2016-07-06,220.813845994
2016-07-13,219.353714134
2016-07-20,225.233872211
2016-07-27,220.425370613
2016-08-03,216.39444712
2016-08-10,213.842356071
2016-08-17,208.644115531
2016-08-24,202.129952967
