DATE,FFINCP
2011-03-16,238.254342218
2011-03-23,235.344322346
2011-03-30,236.738452427
2011-04-06,243.454845616
2011-04-13,244.130007262
2011-04-20,245.580193618
2011-04-27,243.18055611
2011-05-04,244.142907298
2011-05-11,253.356353459
2011-05-18,260.364174039
2011-05-25,271.257673171
2011-06-01,276.115246266
2011-06-08,281.004031714
2011-06-15,281.586677625
2011-06-22,282.126207354
2011-06-29,272.281588617
2011-07-06,263.903280963
2011-07-13,254.932576751
2011-07-20,240.947222878
2011-07-27,231.767017344
2011-08-03,219.483248099
2011-08-10,214.447734375
2011-08-17,209.45134375
2011-08-24,210.378140625
2011-08-31,212.179515625
2011-09-07,207.790984375
2011-09-14,207.18
2011-09-21,200.439265625
2011-09-28,190.74425
2011-10-05,179.211875
2011-10-12,177.073734375
2011-10-19,179.037484375
2011-10-26,185.834703125
2011-11-02,182.827875
2011-11-09,179.185125
2011-11-16,175.282109375
2011-11-23,173.11265625
2011-11-30,175.368140625
2011-12-07,168.09
2011-12-14,164.53321875
2011-12-21,159.4865
2011-12-28,152.738046875
2012-01-04,141.88275
2012-01-11,148.641
2012-01-18,151.24309375
2012-01-25,153.226265625
2012-02-01,159.240625
2012-02-08,167.56725
2012-02-15,162.9210625
2012-02-22,155.69796875
2012-02-29,153.25465625
2012-03-07,149.725125
2012-03-14,149.912359375
2012-03-21,150.896609375
2012-03-28,160.4460625
2012-04-04,159.67021875
2012-04-11,163.524578125
2012-04-18,161.557828125
2012-04-25,162.512234375
2012-05-02,160.887671875
2012-05-09,177.69009375
2012-05-16,183.41678125
2012-05-23,189.0213125
2012-05-30,200.158015625
2012-06-06,198.516015625
2012-06-13,197.482359375
2012-06-20,192.2603125
2012-06-27,193.411578125
2012-07-04,196.5338125
2012-07-11,199.9288125
2012-07-18,202.57765625
2012-07-25,212.343828125
2012-08-01,231.6165
2012-08-08,223.58421875
2012-08-15,229.93284375
2012-08-22,233.492453125
2012-08-29,233.6150625
2012-09-05,236.695984375
2012-09-12,235.285625
2012-09-19,229.04084375
2012-09-26,231.999265625
2012-10-03,234.6995625
2012-10-10,234.862359375
2012-10-17,227.4495
2012-10-24,216.84440625
2012-10-31,206.658296875
2012-11-07,206.701546875
2012-11-14,204.713265625
2012-11-21,204.22325
2012-11-28,208.938609375
2012-12-05,209.63025
2012-12-12,214.38553125
2012-12-19,219.62603125
2012-12-26,217.181234375
2013-01-02,246.86075
2013-01-09,246.36234375
2013-01-16,251.897234375
2013-01-23,253.869
2013-01-30,249.36246875
2013-02-06,245.379546875
2013-02-13,234.6100625
2013-02-20,218.466390625
2013-02-27,218.8978125
2013-03-06,205.219625
2013-03-13,211.147875
2013-03-20,213.615375
2013-03-27,223.226234375
2013-04-03,227.82621875
2013-04-10,236.78784375
2013-04-17,232.378859375
2013-04-24,238.411203125
2013-05-01,234.44515625
2013-05-08,232.713265625
2013-05-15,240.802640625
2013-05-22,242.528171875
2013-05-29,245.06615625
2013-06-05,238.47578125
2013-06-12,238.6796875
2013-06-19,241.6385625
2013-06-26,240.49503125
2013-07-03,235.82059375
2013-07-10,235.94353125
2013-07-17,238.3048125
2013-07-24,242.519
2013-07-31,249.345591144
2013-08-07,253.072874102
2013-08-14,258.696503492
2013-08-21,260.73921875
2013-08-28,260.645890625
2013-09-04,259.995390625
2013-09-11,257.295421875
2013-09-18,267.26309375
2013-09-25,273.65821875
2013-10-02,273.658875
2013-10-09,270.2398125
2013-10-16,256.27809375
2013-10-23,275.95609375
2013-10-30,285.25384375
2013-11-06,287.027
2013-11-13,289.9263125
2013-11-20,292.57271875
2013-11-27,290.22321875
2013-12-04,291.52928125
2013-12-11,302.61384375
2013-12-18,296.8835
2013-12-25,301.40625
2014-01-01,268.23415625
2014-01-08,278.6455
2014-01-15,271.432125
2014-01-22,255.986359375
2014-01-29,252.3265
2014-02-05,238.99709375
2014-02-12,236.976546875
2014-02-19,262.49959375
2014-02-26,251.861328125
2014-03-05,262.855375
2014-03-12,260.670296875
2014-03-19,256.40125
2014-03-26,247.3434375
2014-04-02,247.0715
2014-04-09,243.614453125
2014-04-16,243.107406614
2014-04-23,242.4995
2014-04-30,239.776040649
2014-05-07,238.022828146
2014-05-14,240.457065823
2014-05-21,238.266498942
2014-05-28,233.959243038
2014-06-04,236.158347423
2014-06-11,240.763619408
2014-06-18,242.932721993
2014-06-25,246.6045625
2014-07-02,249.476125
2014-07-09,243.81453125
2014-07-16,238.394453125
2014-07-23,236.8578125
2014-07-30,236.08228125
2014-08-06,232.967491877
2014-08-13,233.202083959
2014-08-20,228.035579029
2014-08-27,231.247332354
2014-09-03,235.163657805
2014-09-10,237.815609772
2014-09-17,237.900424393
2014-09-24,240.92070892
2014-10-01,243.908435742
2014-10-08,271.467617581
2014-10-15,261.760344007
2014-10-22,265.384805366
2014-10-29,270.095373645
2014-11-05,278.928723569
2014-11-12,288.279921876
2014-11-19,288.929570082
2014-11-26,287.451630563
2014-12-03,282.588268686
2014-12-10,277.102028353
2014-12-17,272.702859214
2014-12-24,260.308294117
2014-12-31,255.557983108
2015-01-07,293.423390057
2015-01-14,264.659555208
2015-01-21,261.348889612
2015-01-28,258.22392727
2015-02-04,257.122529638
2015-02-11,262.361543357
2015-02-18,267.30571637
2015-02-25,286.156581712
2015-03-04,271.08064587
2015-03-11,281.159921281
2015-03-18,274.215334358
2015-03-25,272.678316866
2015-04-01,265.23173522
2015-04-08,259.220106278
