DATE,WHOILNYH
2011-04-15,3.198
2011-04-22,3.176
2011-04-29,3.221
2011-05-06,3.050
2011-05-13,2.936
2011-05-20,2.871
2011-05-27,2.932
2011-06-03,3.035
2011-06-10,3.073
2011-06-17,3.032
2011-06-24,2.852
2011-07-01,2.863
2011-07-08,3.018
2011-07-15,3.087
2011-07-22,3.097
2011-07-29,3.092
2011-08-05,3.001
2011-08-12,2.848
2011-08-19,2.923
2011-08-26,2.951
2011-09-02,3.035
2011-09-09,3.019
2011-09-16,2.955
2011-09-23,2.875
2011-09-30,2.815
2011-10-07,2.794
2011-10-14,2.949
2011-10-21,3.007
2011-10-28,3.045
2011-11-04,3.029
2011-11-11,3.125
2011-11-18,3.105
2011-11-25,2.971
2011-12-02,2.987
2011-12-09,2.947
2011-12-16,2.834
2011-12-23,2.852
2011-12-30,2.896
2012-01-06,3.067
2012-01-13,3.071
2012-01-20,3.028
2012-01-27,3.049
2012-02-03,3.071
2012-02-10,3.197
2012-02-17,3.181
2012-02-24,3.270
2012-03-02,3.238
2012-03-09,3.222
2012-03-16,3.247
2012-03-23,3.201
2012-03-30,3.189
2012-04-06,3.198
2012-04-13,3.127
2012-04-20,3.124
2012-04-27,3.158
2012-05-04,3.114
2012-05-11,2.976
2012-05-18,2.872
2012-05-25,2.840
2012-06-01,2.723
2012-06-08,2.654
2012-06-15,2.629
2012-06-22,2.589
2012-06-29,2.601
2012-07-06,2.725
2012-07-13,2.761
2012-07-20,2.883
2012-07-27,2.850
2012-08-03,2.860
2012-08-10,2.995
2012-08-17,3.057
2012-08-24,3.103
2012-08-31,3.132
2012-09-07,3.130
2012-09-14,3.190
2012-09-21,3.100
2012-09-28,3.116
2012-10-05,3.141
2012-10-12,3.212
2012-10-19,3.183
2012-10-26,3.062
2012-11-02,3.049
2012-11-09,2.988
2012-11-16,2.973
2012-11-23,3.058
2012-11-30,3.027
2012-12-07,2.979
2012-12-14,2.939
2012-12-21,3.013
2012-12-28,3.051
2013-01-04,3.037
2013-01-11,3.058
2013-01-18,3.045
2013-01-25,3.088
2013-02-01,3.129
2013-02-08,3.213
2013-02-15,3.248
2013-02-22,3.145
2013-03-01,3.017
2013-03-08,2.982
2013-03-15,2.971
2013-03-22,2.905
2013-03-29,2.901
2013-04-05,2.929
2013-04-12,2.795
2013-04-19,2.622
2013-04-26,2.663
2013-05-03,2.668
2013-05-10,2.768
2013-05-17,2.747
2013-05-24,2.744
2013-05-31,2.726
2013-06-07,2.731
2013-06-14,2.749
2013-06-21,2.800
2013-06-28,2.726
2013-07-05,2.809
2013-07-12,2.874
2013-07-19,2.943
2013-07-26,2.905
2013-08-02,2.898
2013-08-09,2.869
2013-08-16,2.952
2013-08-23,2.978
2013-08-30,3.046
