DATE,HBUSAPPWNSAUS
2011-03-12,27600
2011-03-19,27800
2011-03-26,28140
2011-04-02,27630
2011-04-09,27990
2011-04-16,26620
2011-04-23,25380
2011-04-30,22880
2011-05-07,15770
2011-05-14,26290
2011-05-21,24420
2011-05-28,24580
2011-06-04,23970
2011-06-11,21020
2011-06-18,26340
2011-06-25,25870
2011-07-02,23930
2011-07-09,23540
2011-07-16,18150
2011-07-23,22420
2011-07-30,22990
2011-08-06,22770
2011-08-13,22400
2011-08-20,22310
2011-08-27,21760
2011-09-03,22180
2011-09-10,21920
2011-09-17,17740
2011-09-24,22880
2011-10-01,22460
2011-10-08,20430
2011-10-15,23030
2011-10-22,19200
2011-10-29,22450
2011-11-05,22400
2011-11-12,21540
2011-11-19,18030
2011-11-26,24440
2011-12-03,15150
2011-12-10,20450
2011-12-17,22020
2011-12-24,22270
2011-12-31,22020
2012-01-07,1990
2012-01-14,25550
2012-01-21,32170
2012-01-28,27330
2012-02-04,22940
2012-02-11,28840
2012-02-18,27760
2012-02-25,26430
2012-03-03,25340
2012-03-10,28060
2012-03-17,27630
2012-03-24,28350
2012-03-31,27270
2012-04-07,27260
2012-04-14,26320
2012-04-21,24550
2012-04-28,25310
2012-05-05,25700
2012-05-12,25870
2012-05-19,25330
2012-05-26,24320
2012-06-02,23920
2012-06-09,19440
2012-06-16,23600
2012-06-23,22810
2012-06-30,23110
2012-07-07,23280
2012-07-14,18090
2012-07-21,21370
2012-07-28,21960
2012-08-04,21850
2012-08-11,21660
2012-08-18,20910
2012-08-25,21200
2012-09-01,21450
2012-09-08,17530
2012-09-15,16160
2012-09-22,24730
2012-09-29,22430
2012-10-06,22200
2012-10-13,22350
2012-10-20,18720
2012-10-27,21750
2012-11-03,21630
2012-11-10,19410
2012-11-17,20070
2012-11-24,18920
2012-12-01,16100
2012-12-08,17640
2012-12-15,19750
2012-12-22,16860
2012-12-29,40550
2013-01-05,14520
2013-01-12,25890
2013-01-19,32620
2013-01-26,25200
2013-02-02,27240
2013-02-09,25200
2013-02-16,25760
2013-02-23,23840
2013-03-02,27170
2013-03-09,27460
2013-03-16,27620
2013-03-23,27530
2013-03-30,25940
2013-04-06,24310
2013-04-13,25530
2013-04-20,24850
2013-04-27,25850
2013-05-04,26510
2013-05-11,25090
2013-05-18,23540
2013-05-25,19610
2013-06-01,21340
2013-06-08,24330
2013-06-15,16650
2013-06-22,26490
2013-06-29,27030
2013-07-06,15200
2013-07-13,24880
2013-07-20,22870
2013-07-27,21930
2013-08-03,22690
2013-08-10,22360
2013-08-17,21770
2013-08-24,22240
2013-08-31,22770
2013-09-07,17180
2013-09-14,23250
2013-09-21,23140
2013-09-28,18700
2013-10-05,26070
2013-10-12,19310
2013-10-19,17270
2013-10-26,23500
2013-11-02,23930
