DATE,ICSA
2011-03-12,404000
2011-03-19,407000
2011-03-26,399000
2011-04-02,395000
2011-04-09,416000
2011-04-16,402000
2011-04-23,422000
2011-04-30,468000
2011-05-07,435000
2011-05-14,414000
2011-05-21,423000
2011-05-28,418000
2011-06-04,423000
2011-06-11,413000
2011-06-18,416000
2011-06-25,421000
2011-07-02,418000
2011-07-09,408000
2011-07-16,420000
2011-07-23,411000
2011-07-30,406000
2011-08-06,405000
2011-08-13,409000
2011-08-20,415000
2011-08-27,409000
2011-09-03,414000
2011-09-10,429000
2011-09-17,422000
2011-09-24,406000
2011-10-01,405000
2011-10-08,410000
2011-10-15,395000
2011-10-22,403000
2011-10-29,399000
2011-11-05,392000
2011-11-12,383000
2011-11-19,385000
2011-11-26,397000
2011-12-03,387000
2011-12-10,368000
2011-12-17,368000
2011-12-24,386000
2011-12-31,376000
2012-01-07,391000
2012-01-14,367000
2012-01-21,381000
2012-01-28,372000
2012-02-04,368000
2012-02-11,361000
2012-02-18,359000
2012-02-25,365000
2012-03-03,375000
2012-03-10,369000
2012-03-17,368000
2012-03-24,363000
2012-03-31,358000
2012-04-07,387000
2012-04-14,381000
2012-04-21,387000
2012-04-28,372000
2012-05-05,373000
2012-05-12,369000
2012-05-19,371000
2012-05-26,381000
2012-06-02,377000
2012-06-09,383000
2012-06-16,384000
2012-06-23,380000
2012-06-30,372000
2012-07-07,360000
2012-07-14,390000
2012-07-21,368000
2012-07-28,372000
2012-08-04,371000
2012-08-11,369000
2012-08-18,376000
2012-08-25,377000
2012-09-01,371000
2012-09-08,393000
2012-09-15,392000
2012-09-22,377000
2012-09-29,376000
2012-10-06,350000
2012-10-13,386000
2012-10-20,374000
2012-10-27,364000
2012-11-03,365000
2012-11-10,446000
2012-11-17,406000
2012-11-24,388000
2012-12-01,375000
2012-12-08,340000
2012-12-15,356000
2012-12-22,362000
2012-12-29,362000
2013-01-05,363000
2013-01-12,344000
2013-01-19,339000
2013-01-26,366000
2013-02-02,361000
2013-02-09,347000
2013-02-16,362000
2013-02-23,342000
2013-03-02,340000
2013-03-09,343000
2013-03-16,343000
2013-03-23,358000
2013-03-30,375000
2013-04-06,359000
2013-04-13,356000
2013-04-20,343000
2013-04-27,331000
2013-05-04,335000
2013-05-11,360000
2013-05-18,343000
2013-05-25,353000
2013-06-01,346000
2013-06-08,337000
2013-06-15,353000
2013-06-22,347000
2013-06-29,340000
2013-07-06,351000
2013-07-13,344000
2013-07-20,355000
2013-07-27,334000
2013-08-03,339000
2013-08-10,327000
2013-08-17,340000
2013-08-24,336000
2013-08-31,325000
2013-09-07,300000
2013-09-14,323000
2013-09-21,314000
2013-09-28,319000
2013-10-05,368000
2013-10-12,368000
2013-10-19,351000
2013-10-26,347000
2013-11-02,342000
2013-11-09,340000
2013-11-16,331000
2013-11-23,316000
2013-11-30,312000
2013-12-07,354000
2013-12-14,364000
2013-12-21,334000
2013-12-28,332000
2014-01-04,322000
2014-01-11,318000
2014-01-18,327000
2014-01-25,340000
2014-02-01,331000
2014-02-08,337000
2014-02-15,332000
2014-02-22,341000
2014-03-01,319000
2014-03-08,322000
2014-03-15,321000
2014-03-22,313000
2014-03-29,330000
2014-04-05,311000
2014-04-12,308000
2014-04-19,327000
2014-04-26,345000
2014-05-03,325000
2014-05-10,303000
2014-05-17,324000
2014-05-24,305000
2014-05-31,312000
2014-06-07,317000
