DATE,TXINSUREDUR
2011-03-05,1.85
2011-03-12,1.83
2011-03-19,1.88
2011-03-26,1.78
2011-04-02,1.76
2011-04-09,1.73
2011-04-16,1.82
2011-04-23,1.73
2011-04-30,1.82
2011-05-07,1.74
2011-05-14,1.83
2011-05-21,1.75
2011-05-28,1.81
2011-06-04,1.77
2011-06-11,1.89
2011-06-18,1.88
2011-06-25,1.93
2011-07-02,1.83
2011-07-09,1.92
2011-07-16,1.95
2011-07-23,1.94
2011-07-30,1.93
2011-08-06,1.91
2011-08-13,1.94
2011-08-20,1.87
2011-08-27,1.88
2011-09-03,1.74
2011-09-10,1.84
2011-09-17,1.75
2011-09-24,1.81
2011-10-01,1.69
2011-10-08,1.74
2011-10-15,1.76
2011-10-22,1.74
2011-10-29,1.73
2011-11-05,1.70
2011-11-12,1.79
2011-11-19,1.68
2011-11-26,1.95
2011-12-03,1.73
2011-12-10,1.88
2011-12-17,1.75
2011-12-24,1.87
2011-12-31,1.94
2012-01-07,1.87
2012-01-14,1.82
2012-01-21,1.85
2012-01-28,1.75
2012-02-04,1.75
2012-02-11,1.71
2012-02-18,1.70
2012-02-25,1.67
2012-03-03,1.63
2012-03-10,1.61
2012-03-17,1.67
2012-03-24,1.57
2012-03-31,1.58
2012-04-07,1.52
2012-04-14,1.59
2012-04-21,1.53
2012-04-28,1.57
2012-05-05,1.51
2012-05-12,1.58
2012-05-19,1.53
2012-05-26,1.58
2012-06-02,1.56
2012-06-09,1.64
2012-06-16,1.69
2012-06-23,1.69
2012-06-30,1.67
2012-07-07,1.70
2012-07-14,1.76
2012-07-21,1.72
2012-07-28,1.76
2012-08-04,1.64
2012-08-11,1.72
2012-08-18,1.66
2012-08-25,1.69
2012-09-01,1.59
2012-09-08,1.63
2012-09-15,1.56
2012-09-22,1.58
2012-09-29,1.52
2012-10-06,1.50
2012-10-13,1.51
2012-10-20,1.53
2012-10-27,1.51
2012-11-03,1.50
2012-11-10,1.50
2012-11-17,1.48
2012-11-24,1.67
2012-12-01,1.56
2012-12-08,1.61
2012-12-15,1.57
2012-12-22,1.53
2012-12-29,1.66
2013-01-05,1.70
2013-01-12,1.70
2013-01-19,1.68
2013-01-26,1.63
2013-02-02,1.56
2013-02-09,1.59
2013-02-16,1.55
2013-02-23,1.56
2013-03-02,1.50
2013-03-09,1.50
2013-03-16,1.54
2013-03-23,1.51
2013-03-30,1.49
2013-04-06,1.46
2013-04-13,1.49
2013-04-20,1.52
2013-04-27,1.47
2013-05-04,1.48
2013-05-11,1.48
2013-05-18,1.54
2013-05-25,1.51
2013-06-01,1.56
2013-06-08,1.51
2013-06-15,1.61
2013-06-22,1.59
2013-06-29,1.59
2013-07-06,1.61
2013-07-13,1.64
2013-07-20,1.66
2013-07-27,1.63
2013-08-03,1.60
2013-08-10,1.62
2013-08-17,1.59
2013-08-24,1.58
2013-08-31,1.50
2013-09-07,1.52
2013-09-14,1.51
2013-09-21,1.48
2013-09-28,1.45
2013-10-05,1.40
2013-10-12,1.42
2013-10-19,1.43
2013-10-26,1.41
2013-11-02,1.41
2013-11-09,1.40
2013-11-16,1.49
2013-11-23,1.37
2013-11-30,1.62
2013-12-07,1.44
2013-12-14,1.57
2013-12-21,1.34
2013-12-28,1.59
2014-01-04,1.52
2014-01-11,1.66
2014-01-18,1.55
2014-01-25,1.64
2014-02-01,1.52
2014-02-08,1.58
2014-02-15,1.49
2014-02-22,1.54
2014-03-01,1.47
2014-03-08,1.49
2014-03-15,1.50
2014-03-22,1.48
2014-03-29,1.43
2014-04-05,1.39
2014-04-12,1.39
2014-04-19,1.43
2014-04-26,1.37
2014-05-03,1.37
2014-05-10,1.36
2014-05-17,1.39
2014-05-24,1.39
2014-05-31,1.40
2014-06-07,1.38
2014-06-14,1.45
2014-06-21,1.46
2014-06-28,1.41
2014-07-05,1.45
2014-07-12,1.44
2014-07-19,1.51
2014-07-26,1.41
2014-08-02,1.42
2014-08-09,1.36
2014-08-16,1.41
2014-08-23,1.31
2014-08-30,1.31
2014-09-06,1.24
2014-09-13,1.25
2014-09-20,1.20
2014-09-27,1.21
2014-10-04,1.13
2014-10-11,1.15
2014-10-18,1.15
2014-10-25,1.15
2014-11-01,1.15
2014-11-08,1.13
2014-11-15,1.21
2014-11-22,1.11
2014-11-29,1.31
2014-12-06,1.15
2014-12-13,1.28
2014-12-20,1.10
2014-12-27,1.33
2015-01-03,1.29
2015-01-10,1.33
2015-01-17,1.26
2015-01-24,1.33
2015-01-31,1.27
2015-02-07,1.31
2015-02-14,1.33
2015-02-21,1.36
2015-02-28,1.38
2015-03-07,1.39
2015-03-14,1.45
2015-03-21,1.43
2015-03-28,1.44
2015-04-04,1.39
2015-04-11,1.48
2015-04-18,1.50
2015-04-25,1.50
2015-05-02,1.47
2015-05-09,1.49
2015-05-16,1.53
2015-05-23,1.53
2015-05-30,1.57
2015-06-06,1.53
2015-06-13,1.62
2015-06-20,1.63
2015-06-27,1.63
2015-07-04,1.61
2015-07-11,1.62
2015-07-18,1.68
2015-07-25,1.63
2015-08-01,1.64
2015-08-08,1.58
2015-08-15,1.62
2015-08-22,1.55
2015-08-29,1.52
2015-09-05,1.43
2015-09-12,1.51
2015-09-19,1.44
2015-09-26,1.47
2015-10-03,1.35
2015-10-10,1.42
2015-10-17,1.41
2015-10-24,1.44
2015-10-31,1.43
2015-11-07,1.43
2015-11-14,1.50
2015-11-21,1.40
2015-11-28,1.62
2015-12-05,1.44
2015-12-12,1.58
2015-12-19,1.42
2015-12-26,1.60
2016-01-02,1.60
2016-01-09,1.63
2016-01-16,1.57
2016-01-23,1.60
2016-01-30,1.56
2016-02-06,1.56
2016-02-13,1.56
2016-02-20,1.61
2016-02-27,1.58
2016-03-05,1.57
2016-03-12,1.60
2016-03-19,1.64
2016-03-26,1.60
2016-04-02,1.51
2016-04-09,1.54
2016-04-16,1.59
2016-04-23,1.57
2016-04-30,1.58
2016-05-07,1.54
2016-05-14,1.59
2016-05-21,1.57
2016-05-28,1.61
2016-06-04,1.57
2016-06-11,1.66
2016-06-18,1.67
2016-06-25,1.67
2016-07-02,1.60
2016-07-09,1.68
2016-07-16,1.68
2016-07-23,1.66
2016-07-30,1.64
2016-08-06,1.59
2016-08-13,1.61
2016-08-20,1.57
2016-08-27,1.54
2016-09-03,1.44
2016-09-10,1.48
2016-09-17,1.45
2016-09-24,1.43
2016-10-01,1.37
2016-10-08,1.35
2016-10-15,1.37
2016-10-22,1.33
2016-10-29,1.36
2016-11-05,1.29
2016-11-12,1.39
2016-11-19,1.29
2016-11-26,1.53
2016-12-03,1.32
2016-12-10,1.46
2016-12-17,1.34
2016-12-24,1.47
2016-12-31,1.45
2017-01-07,1.48
2017-01-14,1.40
2017-01-21,1.44
2017-01-28,1.35
2017-02-04,1.34
2017-02-11,1.33
2017-02-18,1.33
2017-02-25,1.30
2017-03-04,1.27
2017-03-11,1.26
2017-03-18,1.30
2017-03-25,1.25
2017-04-01,1.23
