DATE,TOTLL
2011-03-09,6488.1884
2011-03-16,6478.3656
2011-03-23,6477.395
2011-03-30,6477.9963
2011-04-06,6489.7357
2011-04-13,6475.7198
2011-04-20,6493.0055
2011-04-27,6487.6087
2011-05-04,6488.2171
2011-05-11,6496.6123
2011-05-18,6476.3117
2011-05-25,6486.6491
2011-06-01,6500.5051
2011-06-08,6488.101
2011-06-15,6498.0502
2011-06-22,6501.4442
2011-06-29,6496.741
2011-07-06,6503.8057
2011-07-13,6515.0752
2011-07-20,6514.7246
2011-07-27,6524.8249
2011-08-03,6521.4495
2011-08-10,6535.8719
2011-08-17,6536.987
2011-08-24,6538.2952
2011-08-31,6542.0027
2011-09-07,6547.3749
2011-09-14,6534.8963
2011-09-21,6538.0389
2011-09-28,6550.1072
2011-10-05,6565.9728
2011-10-12,6571.5995
2011-10-19,6574.4549
2011-10-26,6580.2566
2011-11-02,6595.3678
2011-11-09,6608.3963
2011-11-16,6615.8326
2011-11-23,6595.4039
2011-11-30,6604.661
2011-12-07,6615.198
2011-12-14,6609.644
2011-12-21,6603.8511
2011-12-28,6618.9585
2012-01-04,6639.6764
2012-01-11,6646.3537
2012-01-18,6635.5274
2012-01-25,6632.1679
2012-02-01,6709.0872
2012-02-08,6703.7069
2012-02-15,6701.611
2012-02-22,6696.1842
2012-02-29,6718.6858
2012-03-07,6721.415
2012-03-14,6719.0611
2012-03-21,6708.3877
2012-03-28,6718.1303
2012-04-04,6722.7456
2012-04-11,6741.3135
2012-04-18,6744.0274
2012-04-25,6736.9702
2012-05-02,6755.0867
2012-05-09,6764.0879
2012-05-16,6767.1206
2012-05-23,6761.5997
2012-05-30,6769.2963
2012-06-06,6790.9168
2012-06-13,6775.8247
2012-06-20,6778.5449
2012-06-27,6777.4137
2012-07-04,6782.1039
2012-07-11,6791.5537
2012-07-18,6787.3948
2012-07-25,6795.4779
2012-08-01,6807.6675
2012-08-08,6819.472
2012-08-15,6812.1281
2012-08-22,6806.6455
2012-08-29,6820.6967
2012-09-05,6824.8622
2012-09-12,6840.0275
2012-09-19,6829.9537
2012-09-26,6821.679
2012-10-03,6834.5112
2012-10-10,6846.5929
2012-10-17,6832.8702
2012-10-24,6827.4706
2012-10-31,6855.703
2012-11-07,6887.2715
2012-11-14,6879.2546
2012-11-21,6867.344
2012-11-28,6865.7741
2012-12-05,6863.5925
2012-12-12,6865.3291
2012-12-19,6895.7691
2012-12-26,6906.258
2013-01-02,6936.002
2013-01-09,6926.4648
2013-01-16,6913.7555
2013-01-23,6914.3982
2013-01-30,6937.6297
2013-02-06,6946.8466
2013-02-13,6942.5924
2013-02-20,6933.8681
2013-02-27,6945.8566
2013-03-06,6949.4814
2013-03-13,6945.9296
2013-03-20,6938.1138
2013-03-27,6948.144
2013-04-03,6961.8806
2013-04-10,6978.765
2013-04-17,6968.1382
2013-04-24,6967.2387
2013-05-01,6985.5552
2013-05-08,6972.9117
2013-05-15,6984.8508
2013-05-22,6980.8469
2013-05-29,6982.2238
2013-06-05,6995.1875
2013-06-12,7007.5009
2013-06-19,7004.8229
2013-06-26,6996.1196
2013-07-03,7006.3902
2013-07-10,7008.6064
2013-07-17,7023.2619
2013-07-24,7019.2188
2013-07-31,7023.8731
2013-08-07,7019.6328
2013-08-14,7011.7037
2013-08-21,7018.9194
2013-08-28,7016.7115
2013-09-04,7031.5227
2013-09-11,7036.1522
2013-09-18,7038.6528
2013-09-25,7033.9834
2013-10-02,7058.0585
2013-10-09,7050.7756
2013-10-16,7071.0555
2013-10-23,7065.2358
2013-10-30,7074.2442
2013-11-06,7076.4475
