DATE,WM1NS
2011-02-07,1814.2
2011-02-14,1807.9
2011-02-21,1877.4
2011-02-28,1935.2
2011-03-07,1846.5
2011-03-14,1846.9
2011-03-21,1913.8
2011-03-28,1977.3
2011-04-04,1953.9
2011-04-11,1856.3
2011-04-18,1894.3
2011-04-25,1959.4
2011-05-02,1984.0
2011-05-09,1875.9
2011-05-16,1887.4
2011-05-23,1943.9
2011-05-30,2017.2
2011-06-06,1915.0
2011-06-13,1887.6
2011-06-20,1946.0
2011-06-27,2011.8
2011-07-04,2027.5
2011-07-11,1917.0
2011-07-18,1936.3
2011-07-25,2012.5
2011-08-01,2140.5
2011-08-08,2032.4
2011-08-15,2041.8
2011-08-22,2113.0
2011-08-29,2185.0
2011-09-05,2104.7
2011-09-12,2016.2
2011-09-19,2067.5
2011-09-26,2158.5
2011-10-03,2227.5
2011-10-10,2062.8
2011-10-17,2073.2
2011-10-24,2124.5
2011-10-31,2220.1
2011-11-07,2122.8
2011-11-14,2095.6
2011-11-21,2154.4
2011-11-28,2253.1
2011-12-05,2170.3
2011-12-12,2107.7
2011-12-19,2169.4
2011-12-26,2286.5
2012-01-02,2376.5
2012-01-09,2161.5
2012-01-16,2148.4
2012-01-23,2194.2
2012-01-30,2271.7
2012-02-06,2170.4
2012-02-13,2136.6
2012-02-20,2199.2
2012-02-27,2253.2
2012-03-05,2213.4
2012-03-12,2162.5
2012-03-19,2225.1
2012-03-26,2301.9
2012-04-02,2362.6
2012-04-09,2217.5
2012-04-16,2218.0
2012-04-23,2283.2
2012-04-30,2343.4
2012-05-07,2200.4
2012-05-14,2189.8
2012-05-21,2242.0
2012-05-28,2314.6
2012-06-04,2278.8
2012-06-11,2205.4
2012-06-18,2242.8
2012-06-25,2309.7
2012-07-02,2373.9
2012-07-09,2270.9
2012-07-16,2252.9
2012-07-23,2307.8
2012-07-30,2407.4
2012-08-06,2295.9
2012-08-13,2268.1
2012-08-20,2312.1
2012-08-27,2392.8
2012-09-03,2474.5
2012-09-10,2284.0
2012-09-17,2286.7
2012-09-24,2358.8
2012-10-01,2454.9
2012-10-08,2340.6
2012-10-15,2341.7
2012-10-22,2400.2
2012-10-29,2523.7
2012-11-05,2466.6
2012-11-12,2335.6
2012-11-19,2383.3
2012-11-26,2464.6
2012-12-03,2535.2
2012-12-10,2382.9
2012-12-17,2416.1
2012-12-24,2564.4
2012-12-31,2672.0
2013-01-07,2465.9
2013-01-14,2409.4
2013-01-21,2466.3
2013-01-28,2534.4
2013-02-04,2509.0
2013-02-11,2397.8
2013-02-18,2435.4
2013-02-25,2493.6
2013-03-04,2478.1
2013-03-11,2381.7
2013-03-18,2438.2
2013-03-25,2547.7
2013-04-01,2670.6
2013-04-08,2451.1
2013-04-15,2482.7
2013-04-22,2571.1
2013-04-29,2651.0
2013-05-06,2487.4
2013-05-13,2435.1
2013-05-20,2498.2
2013-05-27,2590.2
2013-06-03,2639.0
2013-06-10,2437.0
2013-06-17,2457.4
2013-06-24,2537.4
2013-07-01,2629.4
2013-07-08,2467.7
2013-07-15,2466.0
2013-07-22,2547.5
2013-07-29,2650.4
2013-08-05,2549.3
2013-08-12,2450.3
2013-08-19,2499.5
2013-08-26,2599.4
2013-09-02,2673.4
2013-09-09,2471.7
2013-09-16,2472.1
2013-09-23,2558.5
2013-09-30,2689.2
2013-10-07,2511.3
2013-10-14,2548.2
2013-10-21,2636.9
2013-10-28,2706.5
2013-11-04,2660.9
2013-11-11,2513.7
2013-11-18,2560.5
2013-11-25,2655.7
2013-12-02,2743.2
2013-12-09,2584.2
2013-12-16,2620.0
2013-12-23,2765.0
2013-12-30,2874.6
2014-01-06,2717.0
2014-01-13,2594.8
2014-01-20,2674.9
2014-01-27,2757.3
2014-02-03,2839.2
2014-02-10,2625.6
2014-02-17,2659.6
2014-02-24,2723.9
2014-03-03,2808.7
2014-03-10,2668.0
2014-03-17,2695.6
2014-03-24,2797.2
2014-03-31,2925.3
2014-04-07,2716.0
2014-04-14,2732.3
2014-04-21,2836.8
2014-04-28,2908.8
2014-05-05,2794.5
2014-05-12,2692.1
2014-05-19,2747.2
2014-05-26,2840.8
2014-06-02,2910.0
2014-06-09,2730.9
2014-06-16,2757.7
2014-06-23,2838.1
2014-06-30,2963.5
2014-07-07,2772.0
2014-07-14,2753.3
2014-07-21,2830.8
2014-07-28,2933.0
2014-08-04,2896.3
2014-08-11,2698.0
2014-08-18,2731.7
2014-08-25,2817.6
2014-09-01,2923.1
2014-09-08,2737.7
2014-09-15,2750.6
2014-09-22,2826.5
