DATE,WAAA
2011-03-18,5.07
2011-03-25,5.10
2011-04-01,5.15
2011-04-08,5.19
2011-04-15,5.16
2011-04-22,5.16
2011-04-29,5.13
2011-05-06,5.00
2011-05-13,4.98
2011-05-20,4.93
2011-05-27,4.95
2011-06-03,4.95
2011-06-10,4.97
2011-06-17,4.98
2011-06-24,4.95
2011-07-01,5.11
2011-07-08,5.07
2011-07-15,4.89
2011-07-22,4.91
2011-07-29,4.84
2011-08-05,4.43
2011-08-12,4.32
2011-08-19,4.31
2011-08-26,4.37
2011-09-02,4.34
2011-09-09,4.11
2011-09-16,4.14
2011-09-23,3.98
2011-09-30,4.06
2011-10-07,3.91
2011-10-14,4.09
2011-10-21,3.98
2011-10-28,3.97
2011-11-04,3.84
2011-11-11,3.88
2011-11-18,3.89
2011-11-25,3.81
2011-12-02,4.00
2011-12-09,4.02
2011-12-16,3.92
2011-12-23,3.88
2011-12-30,3.83
2012-01-06,3.87
2012-01-13,3.85
2012-01-20,3.83
2012-01-27,3.90
2012-02-03,3.80
2012-02-10,3.89
2012-02-17,3.84
2012-02-24,3.85
2012-03-02,3.82
2012-03-09,3.88
2012-03-16,4.05
2012-03-23,4.09
2012-03-30,4.00
2012-04-06,4.03
2012-04-13,3.94
2012-04-20,3.93
2012-04-27,3.95
2012-05-04,3.95
2012-05-11,3.87
2012-05-18,3.72
2012-05-25,3.76
2012-06-01,3.65
2012-06-08,3.67
2012-06-15,3.67
2012-06-22,3.64
2012-06-29,3.60
2012-07-06,3.60
2012-07-13,3.44
2012-07-20,3.37
2012-07-27,3.26
2012-08-03,3.31
2012-08-10,3.45
2012-08-17,3.59
2012-08-24,3.54
2012-08-31,3.41
2012-09-07,3.43
2012-09-14,3.55
2012-09-21,3.55
2012-09-28,3.40
2012-10-05,3.44
2012-10-12,3.44
2012-10-19,3.50
2012-10-26,3.50
2012-11-02,3.44
2012-11-09,3.42
2012-11-16,3.46
2012-11-23,3.57
2012-11-30,3.56
2012-12-07,3.57
2012-12-14,3.65
2012-12-21,3.73
2012-12-28,3.65
2013-01-04,3.77
2013-01-11,3.77
2013-01-18,3.76
2013-01-25,3.77
2013-02-01,3.91
2013-02-08,3.90
2013-02-15,3.91
2013-02-22,3.93
