DATE,RELACBW027SBOG
2011-03-09,3553.9784
2011-03-16,3541.09
2011-03-23,3535.866
2011-03-30,3525.8761
2011-04-06,3528.3681
2011-04-13,3517.8247
2011-04-20,3522.4954
2011-04-27,3518.8941
2011-05-04,3514.9763
2011-05-11,3516.5977
2011-05-18,3500.1724
2011-05-25,3503.7463
2011-06-01,3507.2171
2011-06-08,3501.5896
2011-06-15,3504.482
2011-06-22,3503.9889
2011-06-29,3494.2457
2011-07-06,3496.5065
2011-07-13,3504.2446
2011-07-20,3496.9866
2011-07-27,3496.8051
2011-08-03,3492.8495
2011-08-10,3494.5224
2011-08-17,3492.775
2011-08-24,3489.7688
2011-08-31,3494.6149
2011-09-07,3491.7753
2011-09-14,3485.6009
2011-09-21,3487.8641
2011-09-28,3493.7935
2011-10-05,3494.3651
2011-10-12,3503.7716
2011-10-19,3500.6816
2011-10-26,3493.538
2011-11-02,3502.2314
2011-11-09,3512.1246
2011-11-16,3513.72
2011-11-23,3492.762
2011-11-30,3497.5707
2011-12-07,3504.7441
2011-12-14,3493.9618
2011-12-21,3478.7411
2011-12-28,3495.8658
2012-01-04,3510.0387
2012-01-11,3514.5414
2012-01-18,3499.0269
2012-01-25,3494.6687
2012-02-01,3540.2493
2012-02-08,3539.164
2012-02-15,3537.5314
2012-02-22,3534.6471
2012-02-29,3545.9994
2012-03-07,3550.6492
2012-03-14,3545.5634
2012-03-21,3540.6193
2012-03-28,3544.2348
2012-04-04,3532.8009
2012-04-11,3542.8007
2012-04-18,3546.6665
2012-04-25,3535.7695
2012-05-02,3541.4248
2012-05-09,3545.3055
2012-05-16,3545.7365
2012-05-23,3532.1536
2012-05-30,3531.8887
2012-06-06,3538.8958
2012-06-13,3524.8318
2012-06-20,3523.5527
2012-06-27,3529.726
2012-07-04,3525.074
2012-07-11,3529.6848
2012-07-18,3524.4229
2012-07-25,3522.6012
2012-08-01,3527.0283
2012-08-08,3533.3351
2012-08-15,3526.7372
2012-08-22,3519.7382
2012-08-29,3528.3738
2012-09-05,3527.6554
2012-09-12,3544.2696
2012-09-19,3533.3784
2012-09-26,3519.6661
2012-10-03,3528.7197
2012-10-10,3534.7673
2012-10-17,3524.4489
2012-10-24,3521.9226
2012-10-31,3527.9891
2012-11-07,3567.4443
2012-11-14,3554.9696
2012-11-21,3545.7259
2012-11-28,3554.245
2012-12-05,3540.8905
2012-12-12,3538.4897
2012-12-19,3554.55
2012-12-26,3557.2233
2013-01-02,3563.1111
2013-01-09,3564.4888
2013-01-16,3559.6066
2013-01-23,3553.0962
2013-01-30,3561.8612
2013-02-06,3562.7745
2013-02-13,3552.9596
2013-02-20,3544.639
2013-02-27,3555.012
2013-03-06,3556.8492
2013-03-13,3547.6794
2013-03-20,3544.8598
2013-03-27,3544.1476
2013-04-03,3554.9599
2013-04-10,3564.4176
2013-04-17,3549.5276
2013-04-24,3544.378
2013-05-01,3551.5513
2013-05-08,3550.1034
2013-05-15,3546.9164
2013-05-22,3541.8893
2013-05-29,3542.5495
2013-06-05,3541.5463
2013-06-12,3552.4419
2013-06-19,3549.7737
2013-06-26,3535.2381
2013-07-03,3538.5908
2013-07-10,3538.4486
2013-07-17,3543.6325
2013-07-24,3532.6709
2013-07-31,3536.8745
2013-08-07,3536.3952
2013-08-14,3523.1287
2013-08-21,3526.4493
2013-08-28,3526.0269
2013-09-04,3528.4714
2013-09-11,3531.1069
2013-09-18,3528.4083
2013-09-25,3523.6918
2013-10-02,3525.3097
2013-10-09,3524.0425
2013-10-16,3523.5358
2013-10-23,3524.3117
2013-10-30,3525.1406
2013-11-06,3525.8297
2013-11-13,3522.0934
2013-11-20,3537.2079
2013-11-27,3531.7929
2013-12-04,3528.7064
2013-12-11,3525.7753
2013-12-18,3536.0866
2013-12-25,3533.3668
2014-01-01,3534.417
2014-01-08,3529.5037
2014-01-15,3532.6827
2014-01-22,3540.4263
2014-01-29,3539.1904
2014-02-05,3536.1271
2014-02-12,3547.1076
2014-02-19,3551.3141
2014-02-26,3543.6668
2014-03-05,3549.3561
2014-03-12,3557.1352
2014-03-19,3566.285
2014-03-26,3563.769
2014-04-02,3567.9009
2014-04-09,3567.9469
2014-04-16,3571.9733
2014-04-23,3577.0309
2014-04-30,3579.9782
2014-05-07,3573.923
2014-05-14,3575.9627
2014-05-21,3586.3639
2014-05-28,3586.6225
2014-06-04,3591.7602
2014-06-11,3594.9802
2014-06-18,3600.2146
2014-06-25,3597.475
2014-07-02,3602.9294
2014-07-09,3596.0001
2014-07-16,3604.7052
2014-07-23,3609.6379
2014-07-30,3611.4398
2014-08-06,3608.0129
2014-08-13,3609.381
2014-08-20,3626.9266
2014-08-27,3619.2405
2014-09-03,3616.6684
2014-09-10,3617.8909
2014-09-17,3620.1976
2014-09-24,3625.8034
2014-10-01,3617.2086
2014-10-08,3615.7654
2014-10-15,3618.2686
2014-10-22,3630.5532
2014-10-29,3621.0917
2014-11-05,3620.4873
2014-11-12,3627.8331
2014-11-19,3629.836
2014-11-26,3626.7081
2014-12-03,3630.6179
2014-12-10,3631.9094
2014-12-17,3638.5513
2014-12-24,3639.9109
2014-12-31,3649.5131
2015-01-07,3645.2253
2015-01-14,3650.1659
2015-01-21,3656.5402
2015-01-28,3661.2265
2015-02-04,3658.179
2015-02-11,3665.1474
2015-02-18,3671.3831
2015-02-25,3694.3842
2015-03-04,3695.4106
2015-03-11,3704.5427
2015-03-18,3713.5044
2015-03-25,3714.501
2015-04-01,3721.6346
2015-04-08,3719.843
2015-04-15,3718.0518
2015-04-22,3720.4143
2015-04-29,3721.4817
2015-05-06,3721.3628
2015-05-13,3721.8368
2015-05-20,3732.8903
2015-05-27,3735.8386
2015-06-03,3741.4744
2015-06-10,3743.3121
2015-06-17,3747.6418
2015-06-24,3748.8846
2015-07-01,3756.6852
2015-07-08,3756.0516
2015-07-15,3757.0453
2015-07-22,3765.6644
2015-07-29,3768.8195
2015-08-05,3766.0861
2015-08-12,3776.9167
2015-08-19,3782.5213
2015-08-26,3778.7733
2015-09-02,3784.1918
2015-09-09,3785.7137
2015-09-16,3790.9638
2015-09-23,3798.1607
2015-09-30,3809.5646
2015-10-07,3803.8891
2015-10-14,3805.6644
2015-10-21,3813.7472
2015-10-28,3818.0401
2015-11-04,3836.5442
2015-11-11,3841.8288
2015-11-18,3849.8625
2015-11-25,3851.374
2015-12-02,3855.7225
2015-12-09,3860.613
2015-12-16,3868.5326
