DATE,WSMTMNS
2011-02-07,907.7
2011-02-14,905.0
2011-02-21,902.3
2011-02-28,899.0
2011-03-07,895.5
2011-03-14,891.9
2011-03-21,888.3
2011-03-28,884.9
2011-04-04,882.7
2011-04-11,879.8
2011-04-18,876.6
2011-04-25,873.4
2011-05-02,869.4
2011-05-09,865.9
2011-05-16,862.6
2011-05-23,858.9
2011-05-30,856.3
2011-06-06,853.2
2011-06-13,849.8
2011-06-20,846.2
2011-06-27,843.0
2011-07-04,840.4
2011-07-11,837.5
2011-07-18,834.0
2011-07-25,830.0
2011-08-01,825.9
2011-08-08,822.8
2011-08-15,819.2
2011-08-22,815.8
2011-08-29,812.8
2011-09-05,810.3
2011-09-12,806.8
2011-09-19,803.2
2011-09-26,800.1
2011-10-03,796.5
2011-10-10,794.3
2011-10-17,791.7
2011-10-24,789.2
2011-10-31,787.1
2011-11-07,784.7
2011-11-14,782.8
2011-11-21,779.8
2011-11-28,778.9
2011-12-05,777.1
2011-12-12,775.5
2011-12-19,774.0
2011-12-26,771.9
2012-01-02,770.9
2012-01-09,768.6
2012-01-16,766.6
2012-01-23,764.7
2012-01-30,762.1
2012-02-06,760.2
2012-02-13,757.9
2012-02-20,755.3
2012-02-27,752.1
2012-03-05,748.8
2012-03-12,745.8
2012-03-19,742.8
2012-03-26,739.1
2012-04-02,736.6
2012-04-09,734.8
2012-04-16,732.0
2012-04-23,728.8
2012-04-30,726.4
2012-05-07,724.2
2012-05-14,721.0
2012-05-21,718.0
2012-05-28,715.1
2012-06-04,713.3
2012-06-11,711.5
2012-06-18,709.8
2012-06-25,708.3
2012-07-02,705.3
2012-07-09,702.5
2012-07-16,700.4
2012-07-23,698.0
2012-07-30,696.0
2012-08-06,693.7
2012-08-13,691.4
2012-08-20,688.8
2012-08-27,687.0
2012-09-03,684.9
2012-09-10,682.8
2012-09-17,680.0
2012-09-24,676.0
2012-10-01,673.7
2012-10-08,671.5
2012-10-15,668.4
2012-10-22,665.8
2012-10-29,663.0
2012-11-05,659.5
2012-11-12,656.6
2012-11-19,654.3
2012-11-26,651.1
2012-12-03,648.3
2012-12-10,645.6
2012-12-17,642.4
2012-12-24,639.5
2012-12-31,637.1
2013-01-07,638.2
2013-01-14,636.6
2013-01-21,635.6
2013-01-28,633.1
2013-02-04,631.5
2013-02-11,629.8
2013-02-18,628.8
2013-02-25,626.4
2013-03-04,624.8
2013-03-11,626.0
2013-03-18,629.1
2013-03-25,627.3
2013-04-01,625.2
2013-04-08,622.7
2013-04-15,621.1
2013-04-22,618.9
2013-04-29,616.7
2013-05-06,614.1
2013-05-13,611.4
2013-05-20,609.3
2013-05-27,606.7
2013-06-03,603.6
2013-06-10,599.7
2013-06-17,595.8
2013-06-24,592.3
2013-07-01,589.4
2013-07-08,587.3
2013-07-15,586.2
2013-07-22,585.0
2013-07-29,583.2
2013-08-05,581.7
2013-08-12,581.4
2013-08-19,580.2
2013-08-26,577.9
2013-09-02,576.3
2013-09-09,574.9
2013-09-16,572.3
2013-09-23,570.6
2013-09-30,572.7
2013-10-07,573.5
2013-10-14,570.5
2013-10-21,568.2
2013-10-28,566.6
2013-11-04,565.4
2013-11-11,564.8
2013-11-18,564.8
2013-11-25,565.2
2013-12-02,565.0
2013-12-09,565.9
2013-12-16,566.4
2013-12-23,565.6
2013-12-30,563.7
2014-01-06,561.1
2014-01-13,559.8
2014-01-20,558.9
2014-01-27,558.6
2014-02-03,558.2
2014-02-10,559.4
2014-02-17,558.3
2014-02-24,557.2
2014-03-03,555.5
2014-03-10,556.1
2014-03-17,555.1
2014-03-24,555.0
2014-03-31,552.5
2014-04-07,551.9
2014-04-14,551.9
2014-04-21,551.0
2014-04-28,548.7
2014-05-05,547.7
2014-05-12,547.0
2014-05-19,548.9
2014-05-26,549.2
2014-06-02,548.6
2014-06-09,545.9
2014-06-16,545.1
2014-06-23,544.7
2014-06-30,544.4
2014-07-07,544.1
2014-07-14,545.2
2014-07-21,543.4
2014-07-28,542.8
2014-08-04,541.6
2014-08-11,539.6
2014-08-18,538.8
2014-08-25,538.5
2014-09-01,537.5
2014-09-08,529.2
2014-09-15,535.2
2014-09-22,533.3
2014-09-29,532.0
2014-10-06,530.5
2014-10-13,530.7
2014-10-20,529.1
2014-10-27,527.6
2014-11-03,526.3
2014-11-10,524.5
2014-11-17,522.7
2014-11-24,521.7
2014-12-01,520.1
2014-12-08,518.1
2014-12-15,517.8
2014-12-22,517.7
2014-12-29,516.7
2015-01-05,515.9
2015-01-12,515.2
2015-01-19,514.6
2015-01-26,514.4
2015-02-02,514.0
2015-02-09,513.8
2015-02-16,514.8
2015-02-23,513.1
2015-03-02,512.1
2015-03-09,507.3
2015-03-16,503.8
2015-03-23,501.6
2015-03-30,500.7
2015-04-06,500.1
2015-04-13,495.6
2015-04-20,494.2
2015-04-27,492.0
2015-05-04,490.6
2015-05-11,488.3
2015-05-18,485.5
2015-05-25,482.9
2015-06-01,481.4
2015-06-08,479.7
2015-06-15,477.6
2015-06-22,475.8
2015-06-29,472.2
2015-07-06,470.6
2015-07-13,465.7
2015-07-20,461.7
2015-07-27,458.3
2015-08-03,455.5
2015-08-10,451.1
2015-08-17,447.3
2015-08-24,443.2
2015-08-31,440.1
2015-09-07,434.5
2015-09-14,428.1
2015-09-21,424.7
2015-09-28,422.5
2015-10-05,422.0
2015-10-12,420.4
2015-10-19,419.5
2015-10-26,418.3
2015-11-02,417.2
2015-11-09,416.4
2015-11-16,414.1
2015-11-23,412.1
2015-11-30,411.2
2015-12-07,409.2
2015-12-14,407.9
2015-12-21,406.7
2015-12-28,405.5
2016-01-04,405.4
2016-01-11,404.6
2016-01-18,404.3
2016-01-25,404.1
2016-02-01,403.4
2016-02-08,403.0
2016-02-15,402.4
2016-02-22,401.5
2016-02-29,400.8
2016-03-07,399.4
2016-03-14,398.9
2016-03-21,394.5
2016-03-28,393.9
2016-04-04,393.2
2016-04-11,392.9
2016-04-18,391.9
2016-04-25,391.7
2016-05-02,390.5
2016-05-09,390.2
2016-05-16,389.5
2016-05-23,388.8
2016-05-30,388.0
2016-06-06,387.1
2016-06-13,386.4
2016-06-20,386.2
2016-06-27,385.6
2016-07-04,386.5
2016-07-11,385.0
2016-07-18,383.2
2016-07-25,381.2
2016-08-01,379.5
2016-08-08,378.2
2016-08-15,375.7
2016-08-22,373.8
2016-08-29,371.7
2016-09-05,371.2
2016-09-12,369.2
2016-09-19,367.1
2016-09-26,365.3
2016-10-03,364.1
2016-10-10,362.7
2016-10-17,361.6
2016-10-24,359.9
2016-10-31,358.8
2016-11-07,358.0
2016-11-14,356.3
2016-11-21,355.0
2016-11-28,352.8
2016-12-05,351.0
2016-12-12,349.4
2016-12-19,347.7
2016-12-26,346.6
2017-01-02,346.6
2017-01-09,346.4
2017-01-16,346.1
2017-01-23,346.8
2017-01-30,347.3
2017-02-06,348.7
2017-02-13,348.5
2017-02-20,350.7
2017-02-27,351.0
2017-03-06,351.4
2017-03-13,350.8
2017-03-20,351.6
2017-03-27,351.6
2017-04-03,354.2
2017-04-10,355.7
2017-04-17,357.1
2017-04-24,357.9
2017-05-01,359.2
2017-05-08,359.9
2017-05-15,362.4
2017-05-22,363.9
2017-05-29,365.6
2017-06-05,367.8
2017-06-12,369.4
2017-06-19,370.6
2017-06-26,371.9
