DATE,TLAACBW027SBOG
2011-03-09,12027.6479
2011-03-16,11977.5545
2011-03-23,12045.4776
2011-03-30,12133.0836
2011-04-06,12202.3268
2011-04-13,12212.1202
2011-04-20,12205.1281
2011-04-27,12179.1515
2011-05-04,12210.426
2011-05-11,12237.7056
2011-05-18,12190.3691
2011-05-25,12239.4652
2011-06-01,12272.6221
2011-06-08,12324.2015
2011-06-15,12246.976
2011-06-22,12338.6007
2011-06-29,12335.9674
2011-07-06,12298.9896
2011-07-13,12324.9468
2011-07-20,12306.3718
2011-07-27,12342.4691
2011-08-03,12372.7821
2011-08-10,12441.2349
2011-08-17,12435.6837
2011-08-24,12418.1468
2011-08-31,12394.3488
2011-09-07,12401.9797
2011-09-14,12457.8884
2011-09-21,12439.7308
2011-09-28,12484.5729
2011-10-05,12528.1912
2011-10-12,12463.7428
2011-10-19,12487.7714
2011-10-26,12497.4069
2011-11-02,12438.671
2011-11-09,12509.7741
2011-11-16,12469.3107
2011-11-23,12444.129
2011-11-30,12452.0273
2011-12-07,12483.8429
2011-12-14,12556.7029
2011-12-21,12509.624
2011-12-28,12595.5503
2012-01-04,12627.6651
2012-01-11,12582.5473
2012-01-18,12538.0926
2012-01-25,12569.556
2012-02-01,12681.3995
2012-02-08,12697.4687
2012-02-15,12736.8004
2012-02-22,12640.7902
2012-02-29,12693.7387
2012-03-07,12654.2324
2012-03-14,12622.1968
2012-03-21,12602.974
2012-03-28,12626.197
2012-04-04,12683.3697
2012-04-11,12694.309
2012-04-18,12667.3149
2012-04-25,12690.1675
2012-05-02,12699.3003
2012-05-09,12715.1426
2012-05-16,12706.5417
2012-05-23,12714.6233
2012-05-30,12722.2882
2012-06-06,12745.9924
2012-06-13,12780.737
2012-06-20,12704.3835
2012-06-27,12741.1093
2012-07-04,12764.6269
2012-07-11,12779.5197
2012-07-18,12785.238
2012-07-25,12845.8698
2012-08-01,12829.7831
2012-08-08,12842.5082
2012-08-15,12826.313
2012-08-22,12810.8597
2012-08-29,12839.8872
2012-09-05,12867.4662
2012-09-12,12840.9527
2012-09-19,12805.03
2012-09-26,12841.567
2012-10-03,12872.906
2012-10-10,12834.401
2012-10-17,12891.1939
2012-10-24,12815.0813
2012-10-31,12904.0658
2012-11-07,12949.6211
2012-11-14,12978.1232
2012-11-21,12965.0705
2012-11-28,13030.1591
2012-12-05,13033.5281
2012-12-12,13057.0922
2012-12-19,13097.4203
2012-12-26,13196.4608
2013-01-02,13237.9049
2013-01-09,13154.7139
2013-01-16,13178.4925
2013-01-23,13191.8339
2013-01-30,13272.7959
2013-02-06,13273.5249
2013-02-13,13269.8487
2013-02-20,13191.6315
2013-02-27,13273.2943
2013-03-06,13270.8138
2013-03-13,13314.552
2013-03-20,13289.9847
2013-03-27,13360.8999
2013-04-03,13395.3021
2013-04-10,13368.0015
2013-04-17,13407.4762
2013-04-24,13332.4287
2013-05-01,13435.9536
2013-05-08,13411.2176
2013-05-15,13476.2109
2013-05-22,13482.0739
2013-05-29,13505.402
2013-06-05,13514.2049
2013-06-12,13559.345
2013-06-19,13500.8941
2013-06-26,13553.1306
2013-07-03,13554.4827
2013-07-10,13543.1619
2013-07-17,13615.5137
2013-07-24,13572.7217
2013-07-31,13589.1563
2013-08-07,13612.0824
2013-08-14,13640.7305
2013-08-21,13637.0512
2013-08-28,13702.5992
2013-09-04,13682.3425
2013-09-11,13710.2516
2013-09-18,13795.8355
2013-09-25,13805.4376
2013-10-02,13909.4001
2013-10-09,13819.4117
2013-10-16,13865.671
2013-10-23,13920.6083
2013-10-30,13946.8988
2013-11-06,13897.999
2013-11-13,13930.4873
2013-11-20,13932.4074
2013-11-27,14026.2528
2013-12-04,14041.953
2013-12-11,14082.8172
2013-12-18,14101.6377
2013-12-25,14121.6394
2014-01-01,13947.1653
2014-01-08,14101.5877
2014-01-15,14122.0087
2014-01-22,14120.0816
2014-01-29,14167.1877
2014-02-05,14186.4868
2014-02-12,14216.7668
2014-02-19,14234.1687
2014-02-26,14230.5495
2014-03-05,14319.6629
2014-03-12,14332.4115
2014-03-19,14363.9048
2014-03-26,14343.477
2014-04-02,14369.2342
2014-04-09,14398.5725
2014-04-16,14433.1474
2014-04-23,14436.4612
2014-04-30,14431.0587
2014-05-07,14458.7152
2014-05-14,14498.7259
2014-05-21,14532.3089
2014-05-28,14577.451
2014-06-04,14586.7765
2014-06-11,14624.9931
2014-06-18,14662.1235
2014-06-25,14733.4311
2014-07-02,14743.7192
2014-07-09,14738.0152
2014-07-16,14760.2566
2014-07-23,14807.9708
2014-07-30,14818.8748
2014-08-06,14812.2364
2014-08-13,14781.0404
2014-08-20,14809.5273
2014-08-27,14810.4972
2014-09-03,14911.9257
2014-09-10,14871.3421
2014-09-17,14948.541
2014-09-24,14973.1543
2014-10-01,14996.23
2014-10-08,14935.6989
2014-10-15,15006.4363
2014-10-22,15033.1176
2014-10-29,15017.9346
2014-11-05,14986.0228
2014-11-12,15004.7448
2014-11-19,14979.8268
2014-11-26,15110.0677
2014-12-03,15096.2034
2014-12-10,15102.2555
2014-12-17,15129.1596
2014-12-24,15079.0343
2014-12-31,14937.6273
2015-01-07,15202.6761
2015-01-14,15208.9225
2015-01-21,15224.3251
2015-01-28,15206.5239
2015-02-04,15214.4325
2015-02-11,15188.7846
2015-02-18,15215.2297
2015-02-25,15269.2497
