DATE,WLTIIT
2011-03-18,1.58
2011-03-25,1.63
2011-04-01,1.67
2011-04-08,1.64
2011-04-15,1.58
2011-04-22,1.50
2011-04-29,1.50
2011-05-06,1.44
2011-05-13,1.48
2011-05-20,1.53
2011-05-27,1.52
2011-06-03,1.48
2011-06-10,1.49
2011-06-17,1.51
2011-06-24,1.48
2011-07-01,1.47
2011-07-08,1.45
2011-07-15,1.29
2011-07-22,1.28
2011-07-29,1.21
2011-08-05,0.92
2011-08-12,0.69
2011-08-19,0.67
2011-08-26,0.74
2011-09-02,0.75
2011-09-09,0.67
2011-09-16,0.73
2011-09-23,0.67
2011-09-30,0.77
2011-10-07,0.65
2011-10-14,0.83
2011-10-21,0.78
2011-10-28,0.74
2011-11-04,0.51
2011-11-11,0.48
2011-11-18,0.55
2011-11-25,0.54
2011-12-02,0.53
2011-12-09,0.57
2011-12-16,0.50
2011-12-23,0.46
2011-12-30,0.50
2012-01-06,0.50
2012-01-13,0.45
2012-01-20,0.45
2012-01-27,0.47
2012-02-03,0.33
2012-02-10,0.38
2012-02-17,0.36
2012-02-24,0.37
2012-03-02,0.38
2012-03-09,0.47
2012-03-16,0.52
2012-03-23,0.56
2012-03-30,0.54
2012-04-06,0.54
2012-04-13,0.42
2012-04-20,0.37
2012-04-27,0.35
2012-05-04,0.36
2012-05-11,0.33
2012-05-18,0.23
2012-05-25,0.19
2012-06-01,0.13
2012-06-08,0.06
2012-06-15,0.12
2012-06-22,0.13
2012-06-29,0.15
2012-07-06,0.12
2012-07-13,0.02
2012-07-20,0.00
2012-07-27,-0.03
2012-08-03,-0.03
2012-08-10,0.04
2012-08-17,0.19
2012-08-24,0.16
2012-08-31,0.04
2012-09-07,0.04
2012-09-14,0.03
2012-09-21,0.00
2012-09-28,-0.04
2012-10-05,-0.10
2012-10-12,-0.07
2012-10-19,0.01
2012-10-26,-0.02
2012-11-02,-0.09
2012-11-09,-0.12
2012-11-16,-0.16
2012-11-23,-0.06
2012-11-30,-0.08
2012-12-07,-0.18
2012-12-14,-0.16
2012-12-21,-0.06
2012-12-28,-0.09
2013-01-04,0.04
2013-01-11,0.02
2013-01-18,-0.01
2013-01-25,0.00
2013-02-01,0.08
2013-02-08,0.08
2013-02-15,0.11
2013-02-22,0.14
2013-03-01,0.06
2013-03-08,0.12
2013-03-15,0.18
2013-03-22,0.13
2013-03-29,0.11
2013-04-05,0.03
2013-04-12,0.01
2013-04-19,0.00
2013-04-26,-0.04
2013-05-03,-0.01
2013-05-10,0.13
2013-05-17,0.25
2013-05-24,0.34
2013-05-31,0.51
2013-06-07,0.56
2013-06-14,0.77
2013-06-21,0.93
2013-06-28,1.08
2013-07-05,0.98
2013-07-12,1.07
2013-07-19,0.95
2013-07-26,0.96
2013-08-02,1.00
2013-08-09,0.92
2013-08-16,1.07
2013-08-23,1.23
2013-08-30,1.11
2013-09-06,1.29
2013-09-13,1.27
2013-09-20,1.14
2013-09-27,1.00
2013-10-04,0.99
2013-10-11,1.02
2013-10-18,1.04
2013-10-25,0.95
2013-11-01,0.96
2013-11-08,1.08
2013-11-15,1.13
2013-11-22,1.15
2013-11-29,1.14
2013-12-06,1.26
2013-12-13,1.27
2013-12-20,1.24
2013-12-27,1.29
2014-01-03,1.27
2014-01-10,1.17
2014-01-17,1.10
2014-01-24,1.08
2014-01-31,1.04
2014-02-07,1.02
2014-02-14,1.05
2014-02-21,1.08
2014-02-28,1.02
2014-03-07,1.02
2014-03-14,1.03
2014-03-21,1.06
2014-03-28,1.01
2014-04-04,1.06
2014-04-11,0.99
2014-04-18,0.93
2014-04-25,0.91
2014-05-02,0.87
2014-05-09,0.84
2014-05-16,0.80
2014-05-23,0.79
2014-05-30,0.70
2014-06-06,0.84
2014-06-13,0.86
2014-06-20,0.83
