DATE,GASREGCOVW
2011-04-18,3.787
2011-04-25,3.817
2011-05-02,3.906
2011-05-09,3.907
2011-05-16,3.905
2011-05-23,3.788
2011-05-30,3.741
2011-06-06,3.738
2011-06-13,3.664
2011-06-20,3.597
2011-06-27,3.513
2011-07-04,3.534
2011-07-11,3.608
2011-07-18,3.648
2011-07-25,3.667
2011-08-01,3.684
2011-08-08,3.646
2011-08-15,3.576
2011-08-22,3.552
2011-08-29,3.601
2011-09-05,3.643
2011-09-12,3.629
2011-09-19,3.560
2011-09-26,3.461
2011-10-03,3.381
2011-10-10,3.368
2011-10-17,3.431
2011-10-24,3.415
2011-10-31,3.405
2011-11-07,3.370
2011-11-14,3.388
2011-11-21,3.312
2011-11-28,3.248
2011-12-05,3.240
2011-12-12,3.244
2011-12-19,3.183
2011-12-26,3.213
2012-01-02,3.254
2012-01-09,3.333
2012-01-16,3.342
2012-01-23,3.333
2012-01-30,3.386
2012-02-06,3.436
2012-02-13,3.466
2012-02-20,3.523
2012-02-27,3.641
2012-03-05,3.717
2012-03-12,3.747
2012-03-19,3.787
2012-03-26,3.843
2012-04-02,3.874
2012-04-09,3.877
2012-04-16,3.867
2012-04-23,3.805
2012-04-30,3.764
2012-05-07,3.718
2012-05-14,3.658
2012-05-21,3.622
2012-05-28,3.575
2012-06-04,3.518
2012-06-11,3.489
2012-06-18,3.473
2012-06-25,3.378
2012-07-02,3.291
2012-07-09,3.357
2012-07-16,3.364
2012-07-23,3.435
2012-07-30,3.450
2012-08-06,3.606
2012-08-13,3.662
2012-08-20,3.682
2012-08-27,3.722
2012-09-03,3.797
2012-09-10,3.799
2012-09-17,3.832
2012-09-24,3.775
2012-10-01,3.750
2012-10-08,3.742
2012-10-15,3.713
2012-10-22,3.582
2012-10-29,3.480
2012-11-05,3.406
2012-11-12,3.372
2012-11-19,3.360
2012-11-26,3.382
2012-12-03,3.337
2012-12-10,3.297
2012-12-17,3.198
2012-12-24,3.205
2012-12-31,3.245
2013-01-07,3.233
2013-01-14,3.236
2013-01-21,3.254
2013-01-28,3.296
2013-02-04,3.471
2013-02-11,3.537
2013-02-18,3.690
2013-02-25,3.722
2013-03-04,3.698
2013-03-11,3.644
2013-03-18,3.633
2013-03-25,3.616
2013-04-01,3.572
2013-04-08,3.539
2013-04-15,3.469
2013-04-22,3.472
2013-04-29,3.455
2013-05-06,3.478
2013-05-13,3.543
2013-05-20,3.636
2013-05-27,3.601
2013-06-03,3.610
2013-06-10,3.619
2013-06-17,3.577
2013-06-24,3.498
2013-07-01,3.410
2013-07-08,3.413
2013-07-15,3.570
2013-07-22,3.612
2013-07-29,3.570
2013-08-05,3.566
2013-08-12,3.493
2013-08-19,3.496
2013-08-26,3.504
2013-09-02,3.575
2013-09-09,3.540
2013-09-16,3.475
2013-09-23,3.425
2013-09-30,3.354
2013-10-07,3.298
2013-10-14,3.296
2013-10-21,3.310
2013-10-28,3.235
2013-11-04,3.209
2013-11-11,3.133
2013-11-18,3.161
2013-11-25,3.241
2013-12-02,3.209
2013-12-09,3.208
2013-12-16,3.165
2013-12-23,3.198
2013-12-30,3.264
2014-01-06,3.261
2014-01-13,3.267
2014-01-20,3.240
2014-01-27,3.241
2014-02-03,3.243
2014-02-10,3.257
2014-02-17,3.326
2014-02-24,3.394
2014-03-03,3.421
2014-03-10,3.452
2014-03-17,3.489
2014-03-24,3.487
2014-03-31,3.521
2014-04-07,3.533
2014-04-14,3.581
2014-04-21,3.612
2014-04-28,3.635
2014-05-05,3.606
2014-05-12,3.597
2014-05-19,3.593
2014-05-26,3.607
2014-06-02,3.624
2014-06-09,3.610
2014-06-16,3.621
2014-06-23,3.639
2014-06-30,3.635
2014-07-07,3.605
2014-07-14,3.560
2014-07-21,3.523
2014-07-28,3.468
2014-08-04,3.449
2014-08-11,3.447
2014-08-18,3.408
2014-08-25,3.397
2014-09-01,3.410
2014-09-08,3.406
2014-09-15,3.352
2014-09-22,3.296
2014-09-29,3.304
2014-10-06,3.246
2014-10-13,3.147
2014-10-20,3.070
2014-10-27,3.016
2014-11-03,2.956
2014-11-10,2.907
2014-11-17,2.856
2014-11-24,2.781
2014-12-01,2.738
2014-12-08,2.634
2014-12-15,2.499
